# 형식: id|한국어 뜻|주석   — id 는 seg.py 의 분할 결과(segs.json)에 대응. 영어는 읽기 줄이 없다.
# 말투: 인터뷰어(Vogue)는 해요체, 젠데이아는 편한 해요체, 다넬은 반말.
29|그래요.|All right = 알겠어요·좋아요
30|그럼 아침마다 빠짐없이 하는 일은 뭐예요?|without fail = 빠짐없이·어김없이
31|아, 안타깝게도, 휴대폰을 확인해요.|unfortunately = 안타깝게도 (자조적으로)
32|저도요.|Same here = 저도 마찬가지예요
33|그렇죠.|
34|아침에 침대에서 일어나게 하는 건 뭐예요?|get you out of bed = 너를 침대에서 나오게 하다
35|제 강아지, 눈이요.|Noon = 반려견 이름
36|귀엽네요. 그리고 처녀자리시죠?|Virgo = 처녀자리 (8/23~9/22)
37|네.|
38|본인의 가장 처녀자리다운 점은요?|the most ~ thing about you = 너의 가장 ~다운 점
39|음, 이거 부정적으로 들리겠지만, 저는 약간 통제광이에요. 아주 조금요.|control freak = 뭐든 자기가 통제해야 직성이 풀리는 사람 / a little bit of a ~ = 약간 ~한 사람
40|젠데이아, 우리 다 그렇잖아요.|aren't we all = 우리 다 그렇지 않나요 (공감)
41|젠디!|Zen-D = 젠데이아의 애칭
42|안녕 다넬. 이것 좀 받아 줄래?|Can you take these for me? = 이것 좀 받아 줄래? (부탁)
43|이쪽은 다넬이에요. 제 어시스턴트 겸 오빠 겸 모든 것, 제 인생의 정리 담당이죠.|slash = '/'를 소리 내 읽은 것. A 겸 B 를 나열할 때 구어로 씀
44|안녕하세요, 다넬.|
45|안녕하세요.|
46|고마워.|
47|자, 그럼 본인의 가장 캘리포니아다운 점은요?|Californian = 캘리포니아 사람(의)
48|제 가장 캘리포니아다운 점은 눈을 보면 아직도 신난다는 거예요.|get excited = 신나다·들뜨다
49|정말, 정말 멋지다고 생각해요, 당연히 우리는 눈이 안 오니까요.|obviously = 당연히·뻔하게도 (구어에서 매우 흔함)
50|그러니까, 눈을 늘 보는 사람한테는 당연히 신날 게 없겠지만, 저는 멋지다고 생각해요.|all the time = 항상
51|그럼 어디에 있을 때 가장 편안한가요?|feel at home = 내 집처럼 편안하다
52|집이요.|at home 을 그대로 받아친 말장난
53|말이 되네요. 그럼 누구와 있을 때 가장 편안한가요?|That makes sense = 말이 되네요·그렇겠네요
54|제 강아지가 저를 제일 편하게 해 주는 것 같아요.|make me feel ~ = 나를 ~하게 느끼게 하다
55|자, 이런 날은 드물 것 같긴 한데요. 그래도 하루를 통째로 쉰다면 뭘 하시겠어요?|a full day off = 온전한 하루 휴가 / I suspect = ~일 것 같다
56|아무것도요. 정말 아무것도 안 할 거예요.|absolutely nothing = 정말 아무것도 (강조)
57|어떻게 긴장을 푸세요?|unwind = 긴장을 풀다·쉬다
58|아무것도 안 해요. 그냥 집에 틀어박혀서 해리 포터 보면서 그냥 아무것도 안 해요.|stay inside = 집 안에 있다 / just like = 그냥 뭐 (필러)
59|요즘 뭐 하느라 바쁘세요?|take up one's days = 하루하루를 차지하다 / as of late = 최근에 (격식)
60|제 드라마 「유포리아」를 마무리하고 있어요, 그래서 그게... 시간이 많이 들어요.|finish up = 마무리하다 / take up a lot of time = 시간을 많이 잡아먹다
61|말 그대로 어젯밤에 야간 촬영이 있었어요.|literally = 말 그대로 (강조 필러로도 씀) / night shoot = 야간 촬영
62|네, 「유포리아」 화제가 대단하던데요.|get buzz = 화제가 되다 / serious = 여기서는 '상당한'
63|네. 정말 기대돼요.|be excited about = ~이 기대되다
64|그리고 디즈니 시절과는 완전히 다른 작품이잖아요. 어떤 작품인지 말씀해 주실 수 있나요?|a departure from = ~에서 벗어난 변화
65|그러니까, 기대되면서 똑같이 무섭기도 해요, 뭐 모르겠어요.|equally = 똑같이 / I don't know = 여기서는 '글쎄요' 필러
66|제가 해 본 것 중에 가장 신나고, 진 빠지지만, 보람 있는 일이라고는 말할 수 있어요.|exhausting = 진 빠지는 / fulfilling = 보람 있는
67|루라는 인물의 어떤 점에 끌리셨나요?|What is it that ~? = 강조 의문문 (도대체 무엇이 ~?)
68|솔직히 저는 대본 읽는 걸 싫어하는데, 이건 대본을 이렇게 빨리 읽은 거의 첫 경험이었어요. 계속 읽고 읽고 또 읽다가, 모르겠어요, 그냥 그녀한테 반해 버렸어요.|kept reading and reading = 계속 읽고 또 읽었다 / fall in love with = ~에게 반하다
69|그럼 그녀를 연기하면서 가장 어려웠던 부분은요?|play (a character) = 배역을 연기하다
70|그러니까, 그녀의 머릿속을 제가 이해하는 데는 한계가 있어서요, 작가 겸 제작자 겸 감독인 샘 레빈슨한테 많이 기대요, 루는 기본적으로 그 사람이거든요.|only ~ so much = ~하는 데 한계가 있다 / rely heavily on = ~에게 크게 의지하다
71|그의 인생이니까, 그냥 그에게 물어봐요.|
72|팬들이 이 시리즈에서 무엇을 얻어 가길 바라세요?|get out of = ~에서 얻다
73|뭔가를 느꼈으면 좋겠어요. 그게 뭐든, 모르겠어요, 그냥, 뭔가를 느끼길 바라요.|whatever that is = 그게 무엇이든
74|SNS에 뭘 올릴지 정할 때 부담을 느끼시나요?|feel pressure = 부담을 느끼다 / post = (SNS에) 올리다
75|있잖아요, 좀 이상하긴 한데, 네. 요즘이 그 어느 때보다 더 그래요, 저한텐 좀 낯선 일이죠.|more so now than ever before = 지금이 그 어느 때보다 더
76|근데 그냥, 뭐랄까, 한 발 물러나 있어요, 예전만큼 많이 안 올리게 됐고요.|take a step back = 한 발 물러서다 / not as much anymore = 이제는 예전만큼 ~않다
77|댓글은 읽으세요?|
78|아니요, 별로요. 친구들이 단 거면 모를까, 그건 읽어요.|not really = 별로요·딱히요 / less so = 덜 그렇다
79|악의적인 반응은 어떻게 대처하세요?|deal with = 대처하다 / negativity = 부정적인 것·악플
80|모두가 우리가 전혀 모르는 뭔가와 싸우고 있다는 걸 잊지 않으려고 해요, 있잖아요?|keep in mind = 명심하다 / have no idea about = ~을 전혀 모르다
81|그래서 그냥 그 사람들에게 연민을 가지려고 해요, 아시죠?|have compassion for = ~을 가엾게 여기다
82|아주 현명하네요. 팔로워들이 모를 법한 본인의 모습은요?|may not know = 모를 수도 있다
83|알 것 같긴 한데, 저는 아주 수줍고 내향적인 사람이에요.|introverted = 내향적인 (반대는 extroverted)
84|그럼 팬에게 배운 것 중 가장 멋진 건 뭐였나요?|the coolest thing = 가장 멋진 것
85|팬들은 저를 긴장하게 만들어요, 정치적으로 깨어 있게 하고, 사회적으로 깨어 있게 하고, 그리고 항상 제 문법이랑 철자를 고쳐 줘요.|keep me on my toes = 나를 방심 못 하게 하다 / aware = 인식하고 있는
86|네, 알았어요, 저 철자 못 쓰는 거 알아요, 네?|I get it = 알았다고요 / can't spell = 철자를 잘 못 쓰다
87|젠데이아, 이 화덕 마음에 드는데 - 좀 덥네요.|fire pit = 야외 화덕 / kind of = 좀 (완화)
88|네. 그렇죠. 여기가 캘리포니아고 햇살 쨍쨍한데 불가에 앉아 있으니.|I get that = 이해해요 / sunshiney = 햇살 가득한 (구어)
89|이상하게 보일 수 있다는 거 알아요.|I see how ~ could be = ~일 수 있다는 걸 이해하다
90|본인의 개인 스타일을 어떻게 설명하시겠어요?|How would you describe ~? = ~을 어떻게 설명하시겠어요? 인터뷰 단골 문형
91|있잖아요, 문제는, 그런 게 없어요. 정말 없는 것 같아요.|the thing is = 문제는·실은 (본론을 꺼낼 때)
92|옷장에서 가장 많이 입은 아이템은요?|over-worn = 너무 많이 입은 / wardrobe = 옷장·옷 전체
93|아마 제 컨버스요.|Probably = 아마 (짧은 대답에 자주)
94|그럼 지금까지 착용한 것 중 가장 사치스러운 건요?|luxe = luxurious 의 줄임, 고급스러운
95|사실 웃긴 얘기가 있어요.|It's a funny story = 재밌는 사연이 있어요 (이야기 도입)
96|시사회에 갔는데 귀걸이를 하고 있었거든요, 크고 예쁜 귀걸이였는데, 솔직히 가짜인 줄 알았어요.|premiere = 시사회 / to be honest with you = 솔직히 말하면
97|그런데 다음 날 기사가 났어요, "젠데이아, 백만 달러짜리 귀걸이 착용" 이라고요.|come out = (기사가) 나오다 / be like "…" = ~라고 하다 (인용 구어)
98|그래서 제가 "로, 어젯밤에 나한테 백만 달러짜리 귀걸이 채운 거야?" 했더니 "음, 아마도" 하더라고요.|I was like … He was like … = 대화를 재현하는 구어체
99|말도 안 돼.|No, no = 설마요
100|뭐? 뭐라고? 그래서 요약하자면, 제 게 아니에요, 돌려줬어요. 네, 뭐.|long story short = 요약하자면 / give back = 돌려주다
101|그런 일은 아마 다시는 없을 거예요, 너무 스트레스였거든요.|That'll never happen again = 다시는 없을 거야
102|살아 있는 사람 중 가장 스타일리시한 사람은요?|alive = 살아 있는 (최상급 뒤에서 '현존하는')
103|제 스타일리스트 로 로치요.|Law Roach = 유명 셀럽 스타일리스트 (자막은 Roche 로 표기)
104|본인의 '유니폼'이라 할 만한 차림은요?|uniform = 여기서는 늘 입는 기본 차림
105|아마 그냥 검정 슬랙스에 흰 티요.|tee = T-shirt 의 구어
106|빈티지냐 디자이너냐?|A or B? = 양자택일 질문 (73 Questions 단골)
107|빈티지 디자이너요.|
108|그건 반칙이죠. 스니커즈냐 힐이냐?|cheat answer = 편법 대답·반칙
109|지금은 스니커즈요. 근데 힐도 정말 좋아해요.|at the moment = 지금은 / I do love = 정말 좋아한다 (do 강조). heals 는 heels 의 자막 오타
110|지금까지 한 것 중 최고의 구매는요?|all-time greatest = 역대 최고의
111|어려운 질문이네요, 그건 대답 안 할래요.|refuse to = ~하기를 거부하다
112|건너뛸 걸 그랬다 싶은 옷차림은요?|wish you skipped = 건너뛰었으면 좋았을 (후회)
113|사실 하나도 없어요, 전부 똑같이 제 자신감을 찾고 제 취향을 알아 가는 데 도움이 됐거든요.|figure out = 알아내다 / find one's confidence = 자신감을 찾다
114|그러니까, 무르고 싶지 않아요.|take it back = 물리다·취소하다
115|그럼 본인의 뷰티 철학은 뭐라고 하시겠어요?|What would you say is ~? = ~은 뭐라고 하시겠어요?
116|규칙은 없다.|There are no rules = 정해진 규칙은 없다
117|하루도 빼놓지 않고 바르는 뷰티 제품은요?|don't go a day without -ing = 하루도 ~하지 않고는 못 지낸다
118|선크림이요.|SPF = 자외선 차단 지수, 미국에선 선크림 자체를 가리킴
119|지금까지 받은 최고의 뷰티 팁은요?|
120|자기 전에 화장 지우기. 진심이에요, 피곤해도요. 꼭 하세요.|take off = 벗다·지우다 / even if = 설령 ~해도
121|새겨 둘게요. 좋아하는 립 컬러는요?|Noted = 알아 두겠습니다 (메모했다는 뜻)
122|빨강이요.|
123|지금 이 순간 즐겨 하는 뷰티 룩은요?|go-to = 늘 찾는·믿고 쓰는
124|솔직히 아무것도요. 일 안 할 땐, 그냥 아무것도요.|honestly = 솔직히 (대답 앞에 붙이는 습관어)
125|강한 립 아니면 강한 아이?|
126|강한 아이요.|
127|행사 때 직접 메이크업을 자주 하시는 걸로 알아요.|do one's own makeup = 직접 화장하다
128|네.|
129|그 기술은 어디서 배우셨어요?|
130|메이크업 참사를 하도 많이 겪었고, 지금까지 메이크업 아티스트도 워낙 많이 만나서, 각자의 좋은 점만 모아서 혼자 하는 법을 익혔어요.|horror story = 끔찍한 경험담 / learn how to do it myself = 혼자 하는 법을 배우다
131|직접 메이크업을 한다는 게... 뭐랄까... 옛날 연극 같달까요.|I dunno = I don't know 의 구어 / old-school = 옛날식의
132|네, 정말요.|for sure = 물론이죠·확실히 (강한 동의)
133|그리고 셰익스피어로 연기력을 갈고닦으셨다고 들었어요.|hone one's skills = 기술을 연마하다 / via = ~을 통해
134|네, 엄마가 캘리포니아 셰익스피어 극장에서 일하셨어요, 제가 두 살 때부터 거기 하우스 매니저세요.|house manager = 극장 객석 관리 책임자
135|그의 희곡은 몇 편이나 보셨나요?|play = 희곡·연극
136|음, 전부 다 몇 번씩요.|Like, = 음, (문두 필러) / several times = 여러 번
137|셰익스피어 전체에서 가장 좋아하는 인물은요?|
138|아마 「십이야」의 비올라요.|Twelfth Night = 셰익스피어 희극 「십이야」
139|어느 희곡에서든 좋아하는 대사는요?|line = 대사
140|"음악이 사랑의 양식이라면, 계속 연주하라."|「십이야」 첫 대사. If … be = 고어체 가정법
141|오, 그거 좋네요, 나쁘지 않아요.|not bad = 꽤 괜찮다 (절제된 칭찬)
142|누니! 눈! 나 좀 사랑해 줘!|Love me! = 반려견에게 애교 섞인 명령
143|오!|
144|눈이 저를 안 사랑하는 건 다들 알아요, 엄마랑 다넬을 더 좋아하죠.|Everyone knows that ~ = ~은 다 아는 사실이다
145|그런데 반려견 눈이 트위터 계정이 있더라고요.|
146|이리 와. 그래. 근데, 놀랍게도... 자, 자. 제가 운영하는 건 아니에요.|surprisingly = 놀랍게도 / run = 운영하다
147|그럼 지금 이 순간 트윗을 한다면 뭐라고 할까요?|at this very moment = 바로 지금 이 순간
148|아마 "왜 너희들 우리 뒷마당에 있어?" 라고 트윗하겠죠.|He'd = He would / you guys = 너희들
149|13살의 젠데이아에게 돌아가서 한 가지를 말해 줄 수 있다면, 뭐라고 하시겠어요?|If you could ~, what would it be? = 가정법 과거 질문
150|아마 네 직감을 따르라고, 네 촉을 따르라고요, 항상 맞으니까요.|follow your gut = 직감을 따르다 (gut = 배·본능)
151|비슷한 나이에 유명세를 헤쳐 가는 다른 연기자들에게는 뭐라고 하시겠어요?|navigate fame = 유명세를 헤쳐 나가다
152|계약서를 읽어라. 아무리 지루해도, 계약서를 읽어라.|No matter how ~ = 아무리 ~해도
153|자, 이 문장을 완성해 주세요. "미래의 할리우드는 ...처럼 보인다."|finish this sentence = 문장을 완성하다
154|바라건대, 더 다양해졌으면.|Hopefully = 바라건대 / diverse = 다양한
155|와, 이 나무 아름답네요.|
156|고마워요.|
157|그러니까, 춤, 공중그네, 무술, 하시는 일이 강한 신체적 헌신을 요구하잖아요.|trapeze = 공중그네 / commitment = 헌신·전념
158|네.|
159|준비하기 가장 힘들었던 역할은요?|prepare for = ~을 준비하다
160|있잖아요, 솔직히 「유포리아」요, 감정적인 부분이 신체적인 부분만큼 힘들 때가 있거든요, 아시죠?|just as hard as = 꼭 그만큼 힘든 / stuff = 것·일 (구어)
161|배우기 가장 어려웠던 스턴트는요?|
162|공중그네가 꽤 힘들었어요. 특히 저처럼 운동 안 하는 사람한테는, 힘들었어요.|pretty tough = 꽤 힘든 / work out = 운동하다
163|자, 「위대한 쇼맨」을 찍을 때 73 Questions 선배인 잭 에프론과 평균 몇 번이나 몸으로 부딪히셨나요?|body slam = 몸으로 내리꽂기 / endure = 견디다 / alum = 졸업생·출신
164|아, 꽤 많이요. 굉장히 가까워졌다고만 해 두죠.|Let's just say = ~라고만 해 두죠 (에두르기)
165|지미 팰런 쇼에서 봤는데, 휴 잭맨이 고소공포증 극복을 도와줬다고요?|overcome one's fear of heights = 고소공포증을 극복하다
166|저더러 "배드애스"라고 했어요.|badass = 끝내주게 멋진 사람 (칭찬, 속어)
167|그랬어요?|He did? = 정말요? (앞 문장의 동사를 did 로 받음)
168|네, 로건이 저더러 "배드애스"래요. 울버린이 저를... "배드애스"라고요.|Logan / Wolverine = 휴 잭맨의 대표 배역
169|대단하네요.|
170|네. 하나 드실래요?|Do you want one? = 하나 드실래요? (레모네이드)
171|네. 그럼요, 받을게요.|I'll take it = 받을게요·주세요
172|여기요. 제가 먼저 시작해 드릴게요.|start it off = 먼저 시작해 주다 (마셔 보이기)
173|네, 믿을게요.|I trust you = 믿어요
174|드셔 보세요.|Try it = 먹어 봐요·해 봐요
175|음, 맛있어 보이네요. 스파이더맨 최신작에서 가장 좋아하는 촬영 장면은요?|installment = 시리즈의 한 편 / shoot = 촬영하다
176|있잖아요, 스턴트 장면이 하나 있었는데, 기본적으로 우리를 30미터쯤 끌어올렸다가 그냥 떨어뜨려서 흔들리게 했어요.|pull up = 끌어올리다 / a hundred feet = 약 30 m
177|그건- 그건 정말 미친 짓이었어요.|nuts = 미친·제정신이 아닌 (구어)
178|와, 격렬했겠네요.|intense = 강렬한·격렬한
179|네, 그랬죠. 근데 재밌었어요.|
180|공동 출연자 톰 홀랜드와 제이크 질렌할에 대해 알려 줄 수 있는 건요?|costar = 공동 주연
181|둘이 같이 있으면 다른 사람은 안 보인다는 거요.|no one else exists = 다른 사람은 존재하지 않는다 (둘만의 세계)
182|이 작품에 뛰어들기 전에 코믹스 팬이었나요?|jump into = 뛰어들다
183|음-흠. 스파이더맨은 늘 제가 제일 좋아하는 슈퍼히어로였던 것 같아요.|Mm-hmm = 응 (긍정) / has always been = 늘 ~였다
184|아 저도요!|me too = 저도요
185|멋지죠, 그렇죠?|right? = 그렇죠? (동의 구하기)
186|네. 맡은 인물 MJ의 어떤 특성이 젠데이아 본인과 가장 가깝나요?|hit close to home = 자기 얘기처럼 와닿다 / trait = 특성
187|모르겠어요, 걔는 약간 외톨이예요. 그리고 좀 내향적이고, 그러니까... 그게 저예요.|loner = 혼자 있길 좋아하는 사람 / kind of like = 약간 ~같은
188|본인을 내향적으로 만드는 건 뭘까요?|
189|모르겠어요, 그냥 집에 있는 게 좋고 혼자 있는 게 좋아요, 어쩔 수 없어요.|stay to myself = 혼자 조용히 지내다 / I can't help it = 어쩔 수 없다
190|자, 초능력을 가질 수 있다면, 뭐가 좋겠어요?|super power = 초능력
191|순간이동이요, 당연히. 제 삶이 훨씬 편해질 거예요.|for sure = 확실히 / so much easier = 훨씬 더 쉬운
192|그렇죠, 여행을 많이 하시니까.|cause = because 의 구어 축약
193|많이요.|
194|앞으로 큰 여행 계획 있어요?|coming up = 다가오는·예정된
195|음, 스파이더맨 홍보 투어가 있어요, 멋질 거예요|press tour = (영화) 홍보 투어
196|아, 정말 멋지네요. 그런데 소문으로 들었는데, 어떤 상징적인 리메이크 작품에 참여하실 수도 있다고요.|hear through the grapevine = 소문으로 듣다 / iconic = 상징적인
197|이것에 대해 말씀해 주실 수 있는 게 있나요?|
198|말해 줄 수는 있는데, 그러면 당신을 죽여야 해요. 왜 뉴욕 억양으로 말했는지는 묻지 마세요.|I could tell you, but I'd have to kill you = '비밀이야'를 뜻하는 영화 속 유행어
199|자, 연기 말고도 음악이 경력에서 큰 비중을 차지해 왔잖아요.|besides = ~외에도 / focus = 중심·주력
200|네.|
201|지금 이 순간엔 연기와 음악 중 어느 쪽에 더 마음이 가나요?|feel connected to = ~에 유대감을 느끼다
202|모르겠어요, 그러니까 둘 다 늘 좋아해요. 근데, 글쎄요, 연기가 앞자리에 앉게 된 것 같아요.|take a front seat = 우선순위가 되다 (반대는 take a back seat)
203|젠데이아가 고른 플레이리스트에 항상 들어가는 트랙은요?|end up on = 결국 ~에 오르다 / curated = 고른·큐레이션한
204|지금은 솔란지 노래 많이요. 요즘 저를 지탱해 주고 있어요.|hold me down = 나를 지켜 주다·버팀목이 되다 (속어)
205|파티에서 더 중요한 건, 플레이리스트냐 옷이냐?|
206|플레이리스트요, 천 퍼센트. 플레이리스트가 구리면 파티는 안 살아나요.|a thousand percent = 100% 보다 더 (과장) / whack = 구린 (속어) / popping = 신나게 달아오른
207|파티를 띄우고 싶으면, 여담인데, 필요한 사람 있으면, "This is How We Do It" 을 틀어요.|jump off = (파티가) 시작되어 달아오르다 / side note = 여담이지만
208|매번 통해요.|It works every time = 매번 효과가 있다
209|자, 직접 썼으면 하고 바라는 노래는요?|wish you'd written = 썼더라면 (과거 사실의 반대 소망)
210|도니 해서웨이의 "A Song For You"요.|
211|올해 본 최고의 콘서트는요?|
212|올해는 콘서트에 못 갔어요, 너무 바빠서요. 그래도 다들 알죠, 비욘세 콘서트가 최고라는 거.|we all know = 다들 알다시피
213|지금까지 받은 최고의 조언은요?|
214|제 차례네요!|That's my cue = 내가 나설 차례다 (cue = 신호)
215|인생이 레몬을 주면, 레모네이드를 만들어라. 잘했어, 다넬.|When life gives you lemons, make lemonade = 역경을 기회로 바꿔라 (속담)
216|다넬, 타이밍 완벽하네요!|with the perfect timing = 완벽한 타이밍으로
217|그쵸, 안 그래요?|was it not? = 그렇지 않았나요? (부가의문)
218|완전히 무시해 버린 조언은요?|ignore = 무시하다
219|다 할 수는 없다는 말이요, 할 수 있으니까요. 할 수 있다고 느끼면, 할 수 있어요.|you can't do it all = 다 할 수는 없다
220|젠데이아, 어떤 사람으로 기억되고 싶어요?|be known for = ~으로 알려지다
221|있잖아요, 정말 진부하게 들리겠지만, 모르겠어요, 그냥 좋은 사람이요.|corny = 진부한·유치한 / this is gonna sound ~ = ~하게 들리겠지만
222|전혀 진부하지 않아요. 그거 제 건가요?|not ~ at all = 전혀 ~않다
223|네, 드세요.|go for it = 그렇게 해요·마음껏 해요
224|정말 정말 고마워요. 자, 지금 당신을 놀라게 하는 여성 세 명은요?|blow one's mind = 넋을 빼놓다·감탄시키다
225|비욘세 얘기 많이 하는 거 아는데, 언제나 비욘세요. 미셸 오바마, 리한나.|mention = 언급하다
226|대단한 여성들이네요. 젠데이아, 베푸는 분이잖아요. 마음에 가장 가까운 대의는 뭐라고 하시겠어요?|giving = 잘 베푸는 / cause = 대의·사회적 목적 / close to one's heart = 소중한
227|솔직히 제가 열정을 가진 게 너무 많아서 그건 따로 얘기해야 해요.|be passionate about = ~에 열정적이다
228|다시 오셔야 해요, 그때 그 얘기만 하죠.|You gotta = You have got to (구어)
229|늘 받지만 안 받았으면 하는 질문은요?|get asked = 질문을 받다 (수동)
230|누구 만나요?|Who are you dating? = 누구랑 사귀어요?
231|그런데, 73 Questions 출연 요청이 역대 가장 많았던 분 중 한 명이에요.|requested = 요청된 / ever = 역대
232|정말요?|
233|네.|
234|어머, 세상에, 고마워요.|Oh, snap = 어머·헐 (놀람의 속어)
235|누구에게 73가지 질문을 하고 싶은지 궁금해요.|I'd love to know = 정말 궁금해요
236|아마 방금 말한 세 여성이요. 그리고, 오프라도요.|as well = ~도 (문미)
237|자, 이런 말씀 드려 죄송하지만 벌써 73번째 질문이에요.|I'm sorry to say this but = 이런 말 하기 미안하지만
238|어머, 정말 금방 갔네요.|Geez = 이런·세상에 / go by = (시간이) 지나가다
239|네, 그렇죠? 이 회차를 요청한 모든 팬에게, 지금 어떤 메시지를 보내고 싶어요?|I know right? = 그러니까요 (동의)
240|모르겠어요, 그냥 "고맙다"고 말할 것 같아요.|
241|있잖아요, 많은 팬들이 저와 함께 커 왔거든요, 말 그대로 함께 자랐어요.|come up with me = 나와 함께 성장해 오다 / literally = 말 그대로
242|아마 같은 나이대고, 저와 같이 자랐죠.|
243|제 경력의 여러 단계를 거치는 동안, 제가 계속 성장하는 동안 응원해 준 게 정말 고마워요.|appreciate ~ -ing = ~해 준 것을 고맙게 여기다 / phase = 단계
244|그래서, 고마워요.|
245|멋지네요. 그리고 이거 맛있었어요.|awesome = 최고예요
246|고마워요. 고마워요. 별말씀을요.|Of course = 여기서는 '별말씀을요·당연하죠'
247|젠데이아, 정말 고마워요. 좋았어요. 안녕히 계세요.|Bye-bye = 안녕 (친근한 작별)
248|안녕히 가세요.|
