# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 seg.py 의 분할 결과에 대응
38|처음 봤는데 나한테 당황하지 않고 "또"라니…|しょたいめんで わたしに とまどわなくて “また” なんて…|初対面=첫 대면, 戸惑う=당황하다
39|나의 세계. 태어날 때부터 소리가 소리가 아닌 세계|わたしの せかい うまれつき おとが おとじゃない せかい|生まれつき=선천적으로
40|이 진동이 내 안에서|この しんどうが じぶんの なかから―|
41|일어나고 있는 거라는 걸|おきている ものだと|
42|전철에서 내리고 나서야 깨달았다|でんしゃを おりてから きづいた|〜てから=〜하고 나서
43|잘 다녀와, 조심하고|いってらっしゃい きを つけてね|외출하는 사람에게 하는 인사
44|으음… 고민되네|うーん… まような|迷う=망설이다
45|응?|ん？|
46|뭘 저렇게 들떠 있어? 쟤|なに うかれてんだ？ あいつ|浮かれる=들뜨다, 〜てんだ=〜ているんだ
47|어?|えっ？|
48|진짜 놀랐다니까. 아… 좋은 아침, 유키!|ホント びっくりだよ あっ… おはよう ゆき！|
49|하아, 오늘은 또 유난히 내용이 빡셌네|ハァ～ きょうは また いちだんと ないよう こかったね|一段と=한층 더, 濃い=(내용이) 진하다·빡빡하다
50|괜찮았어?|だいじょうぶ だった？|
51|응?|ん？|
52|나한테?|わたしに？|
53|이 사람?|この ひと？|
54|그렇구나|なるほどね|
55|그래서 그 큰 짐이었구나. 이츠오미 씨… 라|それで あの おおきな にもつ いつおみさん… か|
56|후훗, 유키 표정 귀여워. 사랑이야?|フフッ ゆきの かお かわいい こい？|
57|사랑이라니! 너무 빨라, 린!|こいって！ はやいよ りんちゃん！|〜って！=〜라니!
58|아하하, 그럼 동경인가|アハハハッ じゃあ あこがれか|憧れ=동경
59|동경?|あこがれ？|
60|그런 거 아니야?|そうなん じゃない？|〜んじゃない？=〜인 거 아니야?
61|그런가|そうか|
62|이게 동경…|これが あこがれ…|
63|나도 있어, 동경하는 사람|わたしも いるよ あこがれの ひと|
64|이츠오미 씨 알바하는 가게 점장. 이츠오미 씨랑 사촌이야|いつおみさんの バイトさきの てんちょう いとこ なんだよ いつおみさんと|バイト先=알바하는 곳, いとこ=사촌
65|가게는 카페바인데|おみせは カフェバー なんだけど―|〜んだけど=〜인데
66|조만간 밥 먹으러 안 갈래?|ちかいうち ごはん いかない？|近いうち=조만간, 〜ない？=〜안 할래?(권유)
67|가도 되는 걸까?|いって いいのかな？|〜ていい=〜해도 된다
68|그래도…|でも…|
69|한 번 더 만나 보고 싶어|もう いちど あって みたい|〜てみたい=〜해 보고 싶다
70|아, 큰일이다. 잠깐 잠깐!|あっ やばい まって まって！|
71|응?|んっ？|
72|점장님이랑 말하는 거, 엄청 긴장해 버려|てんちょうと はなすの すごい きんちょう しちゃうの|〜しちゃう=〜해 버리다, 〜の=여성적인 설명 어미
73|연락처도 매번 못 물어보고|れんらくさきも まいかい きけないし|連絡先=연락처, 〜し=〜하고(이유 나열)
74|린에게 그런 면이…|りんちゃんに そんな いちめんが…|一面=일면·의외의 면
75|으으…|うう…|
76|유키가 같이 있어 주면|ゆきが いっしょ なら―|〜なら=〜라면
77|다음엔 잘할 수 있을 것 같아|つぎは がんばれる きが する|気がする=〜한 느낌이 들다
78|유키~!|ゆき～！|
79|정말, 손이 아플 정도였다고!|もうっ て いたい くらい だったよ！|〜くらい=〜할 정도 (수화를 세게 해서)
80|고마워, 해 볼게!|ありがとね がんばって みる！|
81|유키…|ゆき…|
82|좋아, 나한테 맡겨!|よーし まかせといて！|任せといて=任せておいて
83|유키의 1학년 마지막 최대 퀘스트|ゆきの いちねんせい さいごの さいだい クエスト|
84|서로 (동경하는 사람의) 연락처 물어보자!|おたがいの れんらくさき きくぞ～！|お互い=서로, 〜ぞ=기합 어미
85|어머?|あら？|여성적 감탄사
86|이런 시간에 어디 가니?|こんな じかんに どこか いくの？|
87|조심해, 벌써 어두우니까|きを つけてね もう くらいんだから|〜んだから=〜니까(이유 강조)
88|도착했다. 오, 오늘 옷 이상하지 않지?|ついたね きょ… きょうの ふく へん じゃないよね？|変=이상함
89|하하하, 유키도 예뻐 그 옷|ハハハハッ ゆきも いいよ その ふく|
90|앗…|は…|
91|사랑은 이 눈처럼 소리도 없이 내려오는 걸까|こいは この ゆき みたいに おとも なく ふって くるのかな|프롤로그의 반복
92|흐린 하늘에서|どんてんの そらから―|
93|세상의 색을 바꾸면서|せかいの いろを かえながら|
94|으윽… 야, 빌! 이 전개는 위험하다니까!|ううっ… おい ビル！ この てんかいは やべえって！|가게 TV 속 영화 대사. やべえ=やばい 의 거친 형
95|무슨 소리야!|なに いってる！|
96|지금까지 쭉 둘이서 해 왔잖아!|いままで ずっと ふたりで やって きた だろ！|〜だろ=〜잖아(남성)
97|이번에도 괜찮아!|こんど だって だいじょうぶだ！|〜だって=〜도 역시
98|야, 아니면 놈들의 아지트를 눈앞에 두고…|おい それとも ヤツらの アジト めの まえに して…|アジト=아지트
99|저번에 만났을 때랑 분위기가 달라. 멋있어|この まえ あった ときと ふんいき ちがう かっこいい|雰囲気=분위기
100|이츠오미 씨, 저번에 전철에서 유키 도와줘서 고마워요|いつおみさん こないだ でんしゃで ゆきを たすけて くれて ありがとう|こないだ=この間(요전)
101|아아|ああ|
102|어라? 린?|あれ？ りんちゃん？|
103|히익!|ひいっ！|
104|어서 와. 또 와 준 거야?|いらっしゃい また きて くれたの？|
105|네, 네|は… はい|
106|고마워. 아, 친구?|ありがとね あっ ともだち？|
107|안녕하세요, 편하게 있다 가요|こんばんは ゆっくり してってね|ゆっくりしていって=편히 있다 가
108|응?|ん？|
109|저, 저기 쿄야 씨|あ… あの きょうやさん|
110|아|あっ|
111|이런 건 바로 알아. 내 얘기다|こういうのは すぐ わかる わたしの ことだ|
112|술 마셔? 안 마셔?|さけ のむ？ のまない？|
113|까, 깜짝이야!|び… びっくり した！|
114|꽤 밀어붙이네, 이츠오미 씨|けっこう ごういんに くるなあ いつおみさん|強引=억지스러움·저돌적
115|아, 맞다. 주문 아직 안 했지|あっ そうだ オーダー まだだった|
116|어라?|あれ？|
117|아까 것도 긍정적인 의미로 해석해 버릴 것만 같아|さっきのも ポジティブな いみで かいしゃく して しまい そうに なる|解釈=해석, 〜そうになる=〜할 것 같아지다
118|이츠오미 씨, 저는 맥주로|いつおみさん わたし ビールで|〜で=〜로 (주문)
119|이츠오미 씨는 3개 국어를 해|いつおみさんって トリリンガル なんだよ|〜って=〜는(화제)
120|토이인… 캄?|といいんかむ？|입 모양으로 「トリリンガル」을 잘못 읽은 것
121|써 줄게|かくね|
122|그치~?|ねえ～？|동의를 구하는 말
123|어, 대단해!|えっ すごい！|
124|아, 어서 오세요|あっ いらっしゃいませ|가게에서 손님 맞는 인사
125|하이|ハーイ|
126|이츠, 뒷자리 맡겨도 돼?|いつ うしろの せき まかせて いい？|
127|응|うい|はい 의 아주 가벼운 대답
128|키스!? 어, 거짓말, 왜!?|キス！？ えっ ウソ なんで！？|
129|외국인 그룹… 인사인 걸까? 방금 건|がいこくじんの グループ… あいさつ なのかな？ いまのは|
130|이츠오미 씨는 태연해. 정말 외국인한테 익숙하구나|いつおみさん ふつうに してる ほんとうに がいこくじん なれ してるんだ|〜慣れしている=〜에 익숙하다
131|분명…|きっと…|
132|분명 내가 모르는 세계를…|きっと わたしの しらない せかいを…|
133|내가 모르는 여러 세계를 보고 온 사람이구나|わたしの しらない いろんな せかいを みてきた ひと なんだ|
134|으, 으… 아아아…|うっ うっ… あああ…|
135|어, 린 벌써!?|えっ りんちゃん もう！？|
136|새삼 잘 부탁해|あらためて よろしくね|改めて=새삼·다시 한번
137|자, 자자자… 잘 부탁드립니다|よ… よよよ… よろしく おねがい します|
138|나도… 이츠오미 씨 연락처…|わたしも… いつおみさんの れんらくさき…|
139|린은 어떤 식으로 물어봤을까?|りんちゃん どういう かんじで きいたのかな？|どういう感じで=어떤 식으로
140|글로 쓰면 왠지 무거운 것 같아…|もじに したら なにか おもい ような…|文字にする=글로 쓰다
141|뒤에 있는 사람들, 무슨 말을 하는 걸까|うしろの ひとたち なにごを しゃべってるん だろう|何語=무슨 언어
142|영어? 독일어? 일본어?|えいご？ ドイツご？ にほんご？|
143|결국 못 물어봤다|けっきょく きけなかった|結局=결국
144|이츠오미 씨한테 확인은 받아야 하지만 말이야|いつおみさんに かくにん とんなきゃ だけどさ|取んなきゃ=取らなければ
145|린|りん|
146|응?|ん？|
147|나 이제 퇴근이니까, 데려다줘? 안 데려다줘?|おれ もう あがり だから おくる？ おくらない？|上がり=(알바) 끝, 送る=바래다주다
148|어어! 당연히 데려다줘야지!|ええーっ！ もち おくるで！|もち=もちろん, 〜で=간사이 사투리 어미
149|나는 여기서 엄청 가까우니까 유키를 부탁해!|わたし こっから めちゃ ちかいから ゆきを おねがい！|こっから=ここから
150|그런, 린!?|そんな りんちゃん！？|
151|힘, 내 (린의 입 모양). 어어!?|が ん ば れ ええーっ！|
152|벌써 기다리고 있어!|もう まってる！|
153|옆에서 걷고 있어|となり あるいてる|
154|헉|はっ|
155|오토바이… 깜짝 놀랐다|バイク… びっくり した|
156|위험…|あぶな…|危ない 를 줄인 감탄
157|앗…|はっ…|
158|아무렇지 않게 (손을) 잡혀서…|ふつうに にぎられて…|握る=쥐다 (수동형)
159|투박하고 큰 손|おおざっぱで おおきな て|大ざっぱ=대충인·투박한
160|눈과 함께 온 바깥 공기에 감각이 없어질 것 같던 손끝이|ゆきと セットの がいきで かんかく なくなり そうな ゆびさきが―|指先=손끝(제목의 ゆびさき)
161|이젠… 뜨거워|もう… あつい|
162|아…|あ…|
163|팔에 눈이 쌓이기 시작해서…|うでに ゆき つもり はじめて…|〜始める=〜하기 시작하다
164|지금 생각하고 있는 것이 스며들어|いま おもっている ことが しんしょく して―|浸食=침식
165|전해져 버리지는 않을까|つたわって しまわない かな|伝わる=전해지다
166|응?|ん？|
167|아…|あ…|
168|"괜찮아"라는 건|“いいよ”って―|
169|수화로 어떻게 해?|しゅわで どう やんの？|どうやんの=どうやるの
170|이츠오미 씨한테서…|いつおみさんから…|(메시지가) 왔다
171|이츠오미 씨가 보는 세계는 얼마나 넓을까|いつおみさんから みる せかいは どれくらい ひろいん だろう|
172|내 세계에 아무 맥락도 없이 나타난|わたしの せかいに なんの みゃくらくも なく あらわれた―|脈絡=맥락
173|이 감정을 멈추는 법 따위|この かんじょうの やませかた なんて―|やませ方=やめさせ方(그치게 하는 법)
174|나는 알고 싶지 않아|わたしは しりたく ない|
175|야, 오시. 아까부터 뭘 두리번거려?|なあ おうし さっきから なに きょろきょろ してんだ？|きょろきょろ=두리번두리번
176|누구 찾는 거야?|だれか さがしてる とか？|〜とか？=〜라든가?(추측)
177|그런 거 아니라니까|そんなん じゃねえって|じゃねえ=じゃない 의 거친 형
178|자, 수고|はい おつかれ|
179|오오…|おお…|
180|이츠 군, 시간 있으면 이따 밥이라도 먹으러 갈래?|いつくん じかん ある なら この あと メシでも いく？|メシ=밥(남성적), 〜でも=〜라도
181|오후부터 수업 있으니까 그때까지라면|ごごから じゅぎょう ある から それまで なら|
182|오케이, 잠깐 기다려|おっけ ちょい まってて|ちょい=ちょっと
183|손끝에서 전해져 온다|ゆびさきから つたわって くる|
184|전해 간다|つたえて いく|
185|이 세계에서|この せかいで|
