# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
53|쟤네들 뭐 하는 거야?|あいつら なにやってんだ|
54|으악|うあ|
55|죄송해요 총장님|ごめんなさい そうちょう|
56|총장?|そうちょう|
57|피다…|ちだ|
58|지금부터 청소할 열차 있잖아?|いまから そうじする れっしゃ あるじゃん|
59|응|うん|
60|그 열차에 얽힌 심상치 않은 도시전설 있는데 들어본 적 있어?|あの れっしゃに まつわる やばい としでんせつ あんの きいたことある|
61|몰라|しらん|
62|그러니까|えっと|
63|그 열차 청소하는 작업이 전에도 지금처럼|あの れっしゃ そうじする さぎょうって まえも いまみたいな かんじで|
64|범죄자 갱생 프로그램에 쓰인 적이 있다는 것 같은데|はんざいしゃの こうせいプログラムに つかわれたこと あるらしいんだけど|
65|응|うん|
66|참가한 범죄자들이 차 안에서 서로 죽이기 시작한다는|さんかした はんざいしゃたちが しゃないで ころしあいを はじめるっていう|
67|이상 사태가 자주 일어나게 됐대|いじょうじたいが ひんぱんに おきるように なったんだって|
68|오~|へー|
69|그래서|だから|
70|뭔가 그런 저주 같은 게 있는 게 아니냐고|なんか そういう のろいてきな ものが あるんじゃないかって|
71|그렇게들 말한대|いわれてるんだって|
72|오~|へー|
73|완전 무섭잖아|めっちゃ こわいじゃん|
74|무섭지|こわいよね|
75|오텀|オータムちゃん|
76|오텀|オータムちゃん|
77|오늘 날씨 알려줘|きょうの てんき おしえて|
78|오늘, 긴쿄부, 신키사라기구의 날씨는|ほんじつ ぎんきょうふ しんきさらぎくの てんきは|
79|오텀|オータムちゃん|
80|맑고 가끔 흐림|はれ ところにより くもり|
81|진정해|おちついて|
82|그거 언제까지 하는 거야|それ いつまで やってんだよ|
83|아니 이거 완전 귀엽지 않아?|いや めっちゃ かわいくない これ|
84|안 귀여워|かわいくねぇよ|
85|근데 오텀이 그런 상태면 이 열차도 이제 못 쓸지도 몰라|でも オータムちゃん そんな じょうたいだったら この れっしゃも うつかいものに ならないかもね|
86|응, 왜?|ん なんで|
87|그거 아마 메인 컴퓨터가 고장 났다는 거니까|それ たぶん メインコンピュータが だめになってるって ことだから|
88|안전하게 달리게 하는 게 어려울지도 몰라|あんぜんに はしらせるの むずかしいかも しんないんだよねー|
89|에----|えーー|
90|옛날에 안전 확인 못 한 채로 출발해 버린 적도 있었대|むかし あんぜんかくにん できてないまま はっしんしちゃった こととか あったらしいよ|
91|오~|へー|
92|안전을 확인|あんぜんを かくにん|
93|발차하겠습니다|はっしゃ いたします|
94|무섭네|こわいね|
95|응?|ん|
96|어?|お|
97|어?|え|
98|응?|ん|
99|응?|ん|
100|으왁|うおっ|
101|뭐야?|なんだ|
102|뭐?|は|
103|에----|えーーーーー|
104|거짓말----|ウソーーーー|
