# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
54|그럼 첫 줄, 맥스 씨부터 읽어 주세요|じゃあ いちぎょうめ マックスくんから よんでください|
55|엇|えっ|
56|어, 그러니까|えーっと|
57|형기 산정 프로그램 개요|けいき けいじょう プログラム がいよう|
58|행성연방 형사시설에서의|わくせいれんぽうの けいじしせつに おける|
59|경찰관에 의해서만 판단이 이루어지며, 이로써 프로그램 완료로 한다|けいさつかん のみによって はんだんが なされ これをもって プログラムの かんりょうとする|
60|네, 감사합니다~|はい ありがとうございまーす|
61|여러분, 적혀 있는 내용 대충 이해되셨죠?|みなさん かいてあることは だいたい わかりましたよね|
62|아니 하나도 모르겠는데|いや ぜんぜん わかんねぇよ|
63|길었다~ 뭐야? 교도소에서 일하라는 거야?|ながかったなー なに けいむしょで はたらけって こと|
64|뭔가 어려운 말만 있어서 모르겠던데~|なんか むずかしい ことばばっかで わかんなかったー|
65|아니 그렇게 어렵진, 어라, 다들 이해 못 한 느낌이네|いや そんな むず あれ みんな わかってない かんじなんだ|
66|이런 딱 관공서 티 나는 문장 진짜 싫어|こういう やくしょしごと まるだしの ぶんしょうって ホントいや|
67|마음대로 떠들지 말아 주세요|かってに しゃべんないでください|
68|결국 어떻게 되면 프로그램이 끝나는 거야?|けっきょく どうなったら プログラム しゅうりょうなんだ|
69|조용히, 조용히~, 조용히 하세요~!|しずかに しずかにー しずかにー|
70|그러니까 요컨대 교도소가 꽉 차서 대신 사회봉사활동으로 갚으라는 거죠?|え ようは けいむしょ パンパンだから かわりに しゃかいほうしかつどうして つぐなえってことっしょ|
71|뭐… 그런 거긴 한데요|まぁ そういうことなんですけど|
72|그럼 처음부터 그렇게 쓰라고|だったら さいしょから そう かけよ|
73|그 한마디 전하는 데 대체 글자가 몇 개나 필요한 거야|その ひとこと つたえるのに どんだけ もじ ひつようなんだよ|
74|대단하네 마키나, 이 문장 이해했구나|すごいね まきな この ぶんしょう りかいできたんだ|
75|야 내 독해력 무시하지 마|いや あーしの ぶんしょうりょく なめんな|
76|진짜라니까, 완전 시간 낭비했어|ホントだよ ちょう むだな じかん すごしたわ|
77|아, 이 책상 좀 흔들리는 것 같은데|あ なんか この つくえ がたがたするかも|
78|네, 시끄러워요! 시끄러워요!|はい うるさいです うるさいです|
79|이거 쓴 놈이 오히려 머리 나쁜 거 아냐!|かいた やつ ぎゃくに あたまわりぃだろ|
80|뭔가 질문 있으신가요?|なにか しつもん ありますか|
81|네!|はい|
82|네! 쿠조 씨!|はい クジョウさん|
83|이 봉사활동은 어느 정도 걸리는 느낌인가요?|この ほうしかつどうって どんぐらい かかる かんじですか|
84|글쎄요, 보통 대개 일주일 정도면 끝나던데요|そうですね いつも だいたい いっしゅうかんくらいで おわってますかね|
85|길어~! 일주일 봉사라니 뭘 하라는 거야!|なげぇー いっしゅうかん ほうしって なにすんだよ|
86|에----! 5시간 정도로 생각했는데|えーーー ごじかんくらいとか おもってたー|
87|일주일! 어… 우리 사장님한테 죽는 거 아니야?|いっしゅうかん え おれら しゃちょうに ころされちゃうんじゃない|
88|어, 그건 좀 예상 못 했는데|えー ちょっと よそうしてなかったな|
89|으악 최악이다, 스타코로 못 보잖아!|うおー さいあく スタコロ みれねぇじゃん|
90|그러니까 시끄럽다고!|だから うるさい|
91|닥쳐! 닥쳐!|だまれ だまれ|
92|다른 질문?|ほか しつもん|
93|네|はい|
94|아 진짜 뭔데!?|もぉ なに|
95|구체적으로 '봉사활동'이라는 게 뭘 하는 거예요?|ぐたいてきに ほうしかつどうって なにするんすか|
96|그, 아, 그거 진짜 좋은 질문이다|だ あ それは フツーに いい しつもんだ|
97|지금 눈앞에 있는 건 행성간 주행열차, 통칭 밀키 서브웨이.|いま めのまえに あんのは わくせいかん そうこうれっしゃ つうしょう ミルキーサブウェイ|
98|정식 명칭은 AM24라고 불립니다|せいしきめいしょうは エーエムにじゅうよんて よばれてます|
99|지구력 72년에 타이탄 공업이 만들었고, 그 이후로 중부철도가 운행하고 있습니다|ちきゅうれき ななじゅうにねんに タイタンこうぎょうが つくって それいらい ちゅうぶてつどうが うんようしてます|
100|다만 보시다시피 오래 사용된 탓에 대단히 더럽습니다!|ただ ごらんのとおり ながいこと つかわれてる えいきょうで ひじょうに きたないです|
101|그래서 오늘 여러분께는 이 차량 청소를 해 주시게 될 겁니다!|なので ほんじつ みなさんには この しゃりょうの せいそうを やってもらいます|
102|밀키 서브웨이 청소! 이것이 여러분의 이번 사회봉사활동입니다!|ミルキーサブウェイの そうじ これが みなさんの こんかいの しゃかいほうしかつどうです|
