# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
高い|高い|たかい|높다·크다|고
年齢|年齢|ねんれい|나이|년령
上|上|うえ|위|상
完全|完全|かんぜん|완전|완전
姉|姉|あね|누나·언니|자
失礼|失礼|しつれい|실례|실례
腹|腹|はら|배|복
減っ|減る|へる|줄다·(배가) 고파지다|감
町|町|まち|마을·동네|정
着く|着く|つく|도착하다|착
我慢|我慢|がまん|참음|아만
お腹|御腹|おなか|배(お腹)|어복
空腹|空腹|くうふく|공복|공복
感|感|かん|~감|감
二人|二人|ふたり|두 사람|이인
美味しい|美味しい|おいしい|맛있다|미미
減らす|減らす|へらす|줄이다|감
知ら|知る|しる|알다|지
君|君|きみ|너·자네|군
戦い|戦い|たたかい|싸움|전
以外|以外|いがい|이외|이외
役立つ|役立つ|やくだつ|쓸모 있다|역립
例えば|例えば|たとえば|예를 들면|례
切れる|切れる|きれる|잘리다|절
料理|料理|りょうり|요리|료리
考え|考える|かんがえる|생각하다|고
暇|暇|ひま|한가함|가
厨房|厨房|ちゅうぼう|주방|주방
貸し|貸す|かす|빌려주다|대
急|急|きゅう|갑작스러움|급
他|他|ほか|다른(것)|타
客|客|きゃく|손님|객
昼飯|昼飯|ちゅうはん|점심밥|주반
材料|材料|ざいりょう|재료|재료
大き|大きい|おおきい|크다|대
形|形|かたち|모양|형
待っ|待つ|まつ|기다리다|대
適当|適当|てきとう|대충·적당|적당
切っ|切る|きる|자르다|절
後|後|あと|뒤·다음|후
問題|問題|もんだい|문제|문제
君|君|きみ|~군|군
分身|分身|ぶんしん|분신|분신
禁止|禁止|きんし|금지|금지
店|店|みせ|가게|점
来る|来る|くる|오다|래
孫|孫|まご|손자·손녀|손
空い|空く|あく|(배가) 고프다·비다|공
屋|屋|や|~집·가게|옥
確か|確か|たしか|아마·분명|확
明日|明日|あす|내일|명일
用|用|よう|~용|용
お前|御前|おまえ|너(お前)|어전
台所|台所|だいどころ|부엌|대소
勘ぐる|勘繰る|かんぐる|넘겨짚다·의심하다|감조
小遣い|小遣い|こづかい|용돈|소견
好き|好き|すき|좋아함|호
暑い,暑かっ,暑|暑い|あつい|덥다|서
地域|地域|ちいき|지역|지역
夏|夏|なつ|여름|하
旅|旅|たび|여행|려
日陰|日陰|ひかげ|그늘|일음
休む|休む|やすむ|쉬다|휴
食料|食料|しょくりょう|식량|식료
体|体|からだ|몸|체
周り|周り|まわり|주위|주
涼しく,涼しい|涼しい|すずしい|시원하다|량
範囲|範囲|はんい|범위|범위
小さな|小さな|ちいさな|작은|소
覚え|覚える|おぼえる|기억하다|각
分かっ|分かる|わかる|알다|분
快適|快適|かいてき|쾌적|쾌적
天国|天国|てんごく|천국|천국
寒く|寒い|さむい|춥다|한
調節|調節|ちょうせつ|조절|조절
思い出し|思い出す|おもいだす|떠올리다·생각해내다|사출
凍え|凍える|こごえる|얼어붙다·추위에 떨다|동
解除|解除|かいじょ|해제|해제
久し|久しい|ひさしい|오래되다|구
厚着|厚着|あつぎ|옷을 껴입음|후착
体温|体温|たいおん|체온|체온
得意|得意|とくい|자신 있음·특기|득의
出せ,出さ|出す|だす|내다|출
技|技|わざ|기술·기|기
有利|有利|ゆうり|유리|유리
魔力|魔力|まりょく|마력|마력
消費|消費|しょうひ|소비|소비
加減|加減|かげん|정도·조절|가감
剣|剣|けん|검|검
斧|斧|おの|도끼|부
全部|全部|ぜんぶ|전부|전부
手合わせ|手合わせ|てあわせ|겨루기|수합
始め|始め|はじめ|시작|시
戸惑っ|戸惑う|とまどう|당황하다|호혹
直立|直立|ちょくりつ|직립|직립
固まっ|固まる|かたまる|굳다|고
封じ|封ずる|ふうずる|봉하다·봉인하다|봉
仲間|仲間|なかま|동료|중간
諦める|諦める|あきらめる|포기하다|체
逃げ|逃げる|にげる|도망치다|도
動か|動く|うごく|움직이다|동
操作|操作|そうさ|조작|조작
視界|視界|しかい|시야|시계
全身|全身|ぜんしん|전신|전신
魔王|魔王|まおう|마왕|마왕
鳥|鳥|とり|새|조
捕まえ|捕まえる|つかまえる|붙잡다|포
勢い|勢い|いきおい|기세|세
猛牛|猛牛|もうぎゅう|사나운 소|맹우
飛び跳ねる|飛び跳ねる|とびはねる|펄쩍 뛰다|비도
狩り|狩り|かり|사냥|수
便利|便利|べんり|편리|편리
一家|一家|いっか|한 집|일가
一人|一人|ひとり|한 사람|일인
遠慮|遠慮|えんりょ|사양|원려
毎度|毎度|まいど|매번|매도
決まら|決まる|きまる|정해지다|결
始め|始める|はじめる|시작하다|시
時間|時間|じかん|시간|시간
経つ|経つ|たつ|(시간이) 지나다|경
今回|今回|こんかい|이번|금회
職人|職人|しょくにん|장인|직인
耐え|耐える|たえる|견디다|내
幼馴染み|幼馴染み|おさななじみ|소꿉친구|유순염
子供|子供|こども|아이|자공
境|境|さかい|경계·계기|경
童心|童心|どうしん|동심|동심
頃|頃|ころ|무렵|경
気持ち|気持ち|きもち|기분·마음|기지
赤ん坊|赤ん坊|あかんぼう|갓난아기|적방
確実|確実|かくじつ|확실|확실
記憶|記憶|きおく|기억|기억
違い|違い|ちがい|착오·차이|위
生まれる|生まれる|うまれる|태어나다|생
心|心|こころ|마음|심
入れ替わる,入れ替わっ|入れ替わる|いれかわる|뒤바뀌다·서로 바뀌다|입체
迷惑|迷惑|めいわく|민폐·폐|미혹
外見|外見|がいけん|겉모습|외견
中身|中身|なかみ|속·내용물|중신
師匠|師匠|ししょう|스승|사장
話し|話す|はなす|이야기하다|화
幼稚|幼稚|ようち|유치함|유치
雲|雲|くも|구름|운
探求|探求|たんきゅう|탐구|탐구
入れ替える|入れ替える|いれかえる|서로 바꾸다|입체
過ごし|過ごす|すごす|지내다·보내다|과
片付け|片付ける|かたづける|정리하다·치우다|편부
終わり|終わり|おわり|끝|종
試験|試験|しけん|시험|시험
合格|合格|ごうかく|합격|합격
受け|受ける|うける|받다|수
特権|特権|とっけん|특권|특권
授け|授ける|さずける|내려주다·수여하다|수
洗濯|洗濯|せんたく|빨래·세탁|세탁
正気|正気|せいき|제정신|정기
白い|白い|しろい|희다|백
服|服|ふく|옷|복
頑固|頑固|がんこ|찌든·완고함|완고
黄|黄|き|누런빛|황
着|着る|きる|입다|착
天気|天気|てんき|날씨|천기
気候|気候|きこう|기후|기후
乾く|乾く|かわく|마르다|건
生乾き|生乾き|なまがわき|덜 마름|생건
心配|心配|しんぱい|걱정|심배
畳む|畳む|たたむ|개다·접다|첩
隠し|隠す|かくす|숨기다|은
役|役|やく|도움·역할|역
立ち|立つ|たつ|(도움이) 되다·서다|립
本質|本質|ほんしつ|본질|본질
迫る|迫る|せまる|다가가다·다가오다|박
落とす|落とす|おとす|(얼룩을) 빼다·떨어뜨리다|락
聞く|聞く|きく|묻다·듣다|문
超|超|ちょう|초(超, 매우)|초
攻撃|攻撃|こうげき|공격|공격
髪|髪|かみ|머리카락|발
手入れ|手入れ|ていれ|손질|수입
簡単|簡単|かんたん|간단함|간단
愚問|愚問|ぐもん|어리석은 질문|우문
魔族|魔族|まぞく|마족|마족
倒し|倒す|たおす|쓰러뜨리다|도
戻ろう|戻る|もどる|돌아가다|려
残念|残念|ざんねん|아쉬움|잔념
空|空|そら|하늘|공
手練れ|手足れ|てだれ|실력자·수완가|수족
冷静|冷静|れいせい|냉정함|랭정
可愛い|可愛い|かわいい|귀엽다|가애
もの好き|物好き|ものずき|~을 좋아함(별난 취향)|물호
恐ろしい|恐ろしい|おそろしい|무섭다·두렵다|공
残酷|残酷|ざんこく|잔인함|잔혹
衝動|衝動|しょうどう|충동|충동
抑え|押さえる|おさえる|억누르다·참다|압
本性|本性|ほんしょう|본성|본성
好戦|好戦|こうせん|호전적|호전
急ぎ,急ぐ|急ぐ|いそぐ|서두르다|급
歩い|歩く|あるく|걷다|보
