# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
工業|工業|こうぎょう|공업|공업
作っ|作る|つくる|만들다|작
以来|以来|いらい|이래·이후|이래
中部|チュウブ|ちゅうぶ|중부(지방)|
鉄道|鉄道|てつどう|철도|철도
運用|運用|うんよう|운용|운용
通り|通り|とおり|~대로|통
使わ,使っ|使う|つかう|쓰다·사용하다|사
影響|影響|えいきょう|영향|영향
非常|非常|ひじょう|대단히·비상|비상
汚い|汚い|きたない|더럽다|오
本日|本日|ほんじつ|오늘·금일|본일
清掃|清掃|せいそう|청소|청소
掃除|掃除|そうじ|청소|소제
各|各|かく|각(각각의)|각
班|班|はん|조·반|반
担当|担当|たんとう|담당|담당
両目|両目|りょうめ|두 량째(칸)|량목
一番|一番|いちばん|가장·제일|일번
後ろ|後ろ|うしろ|뒤·뒤쪽|후
二|二|に|둘·2|이
両|両|りょう|~량(전철 칸을 세는 말)|량
脱出|脱出|だっしゅつ|탈출|탈출
精密|精密|せいみつ|정밀|정밀
機械|機械|きかい|기계|기계
積ん|積む|つむ|싣다·쌓다|적
後|後|あと|뒤·후|후
別|別|べつ|다름·별개|별
対応|対応|たいおう|대응|대응
作業|作業|さぎょう|작업|작업
入っ|入る|はいる|들어가다|입
小|小|しょう|작은|소
学校|学校|がっこう|학교|학교
時|時|じ|때|시
お前|御前|ごぜん|너·자네(お前)|어전
考え|考える|かんがえる|생각하다|고
普通|普通|ふつう|보통|보통
児童|児童|じどう|아동|아동
労働|労働|ろうどう|노동|로동
一人|一人|ひとり|한 사람·혼자|일인
盛り上がっ|盛り上がる|もりあがる|흥이 오르다·달아오르다|성상
時期|時期|じき|시기|시기
製造|製造|せいぞう|제조|제조
汎用|汎用|はんよう|범용|범용
型|型|かた|형·모델|형
装備|装備|そうび|장비|장비
防衛|防衛|ぼうえい|방위|방위
馬鹿|馬鹿|ばか|바보|마록
意味|意味|いみ|의미|의미
昔|昔|むかし|옛날|석
車掌|車掌|しゃしょう|차장|차장
一応|一応|いちおう|일단·우선|일응
人工|人工|じんこう|인공|인공
知能|知能|ちのう|지능|지능
喋り|喋り|しゃべり|수다|첩
人気|人気|にんき|인기|인기
喋ん,喋っ,喋ら|喋る|しゃべる|말하다·떠들다|첩
動い|動く|うごく|움직이다|동
機能|機能|きのう|기능|기능
搭載|搭載|とうさい|탑재|탑재
乗り物|乗り物|のりもの|탈것|승물
必ず|必ず|かならず|반드시|필
度|度|ど|도·번(횟수)|도
利用|利用|りよう|이용|리용
総長|総長|そうちょう|총장|총장
血|血|ち|피|혈
都市|都市|とし|도시|도시
伝説|伝説|でんせつ|전설|전설
聞い,聞か,聴い,聴く|聞く|きく|듣다·묻다|문
知ら,知っ|知る|しる|알다|지
犯罪|犯罪|はんざい|범죄|범죄
者|者|もの|~자(사람)|자
更生|更生|こうせい|갱생|갱생
車内|車内|しゃない|차내|차내
殺し合い|殺し合い|ころしあい|서로 죽임|살합
始める|始める|はじめる|시작하다|시
異常|異常|いじょう|이상(異常)|이상
事態|事態|じたい|사태|사태
頻繁|頻繁|ひんぱん|빈번함|빈번
呪い|呪い|のろい|저주|주
今日|今日|きょう|오늘|금일
天気|天気|てんき|날씨|천기
教え|教える|おしえる|가르쳐 주다·알려주다|교
銀|銀|ぎん|은(銀)|은
京|京|きょう|부(행정구역)|경
府|府|ふ|부(행정구역)|부
新|新|しん|새로운·신|신
如月|如月|きさらぎ|기사라기(2월의 옛 이름·지명)|여월
区|区|く|구(행정구역)|구
晴れ|晴れ|はれ|맑음|청
曇り|曇り|くもり|흐림|담
状態|状態|じょうたい|상태|상태
使い物|使い物|つかいもの|쓸모 있는 물건|사물
多分|多分|たぶん|아마|다분
安全|安全|あんぜん|안전|안전
走ら,走る|走る|はしる|달리다|주
発進|発進|はっしん|발진·출발|발진
発車|発車|はっしゃ|발차|발차
運転|運転|うんてん|운전|운전
責任|責任|せきにん|책임|책임
音楽|音楽|おんがく|음악|음락
出し|出し|だし|냄(파생 명사)|출
警告|警告|けいこく|경고|경고
受け|受ける|うける|받다|수
銃撃|銃撃|じゅうげき|총격|총격
撃た|打つ|うつ|치다·쏘다|타
行き,行こ,行く,行こう,行か,行っ|行く|いく|가다|행
誘っ|誘う|さそう|꾀다·권하다|유
元気|元気|げんき|기운·건강함|원기
調べ|調べる|しらべる|조사하다·알아보다|조
出身|出身|しゅっしん|출신|출신
家庭|家庭|かてい|가정|가정
関係|関係|かんけい|관계|관계
世話|世話|せわ|신세·보살핌|세화
残っ|残る|のこる|남다|잔
中学|中学|ちゅうがく|중학교|중학
生|生|なま|날것·생(生)|생
懐かしー|懐かしい|なつかしい|그립다|회
失神|失神|しっしん|실신|실신
被害|被害|ひがい|피해|피해
男の子|男の子|おとこのこ|남자아이|남자
元カレ|元彼|もとかれ|전 남친|원피
野郎|野郎|やろう|자식·놈|야랑
待ち合わせ|待ち合わせ|まちあわせ|약속(만나기로 함)|대합
風邪|風邪|かぜ|감기|풍사
殴っ|殴る|なぐる|때리다|구
暴力|暴力|ぼうりょく|폭력|폭력
自分|自分|じぶん|자기·스스로|자분
気|気|き|기·정신|기
似|似る|にる|닮다|사
上級|上級|じょうきゅう|상급·선배|상급
正当|正当|せいとう|정당|정당
病院|病院|びょういん|병원|병원
送り|送り|おくり|보냄|송
大袈裟|大袈裟|おおげさ|호들갑·과장|대가사
可哀想|可哀想|かわいそう|불쌍함|가애상
危なかっ|危ない|あぶない|위험하다|위
全員|全員|ぜんいん|전원|전원
経歴|経歴|けいれき|경력|경력
解決|解決|かいけつ|해결|해결
守ん|守る|まもる|지키다|수
身体|体|からだ|몸|체
古川|フルカワ|ふるかわ|후루카와(인명)|
画面|画面|がめん|화면|화면
割っ|割る|われる|깨다·나누다|할
謝っ|謝る|あやまる|사과하다|사
弁償|弁償|べんしょう|변상|변상
地元|地元|じもと|고장·동네|지원
小学|小学|しょうがく|초등학교|소학
扱い|扱い|あつかい|취급|급
巻き込ま|巻き込む|まきこむ|휘말리게 하다|권입
友達|友達|ともだち|친구|우달
止め,止める,停める,辞め|止める|とめる|멈추다·세우다·그만두다|지
見下し|見下す|みくだす|깔보다·무시하다|견하
以外|以外|いがい|이외|이외
仲良く|仲良く|なかよく|사이좋게|중량
寄っ|寄る|よる|다가가다·모이다|기
十分|十分|じゅうふん|충분히|십분
誰|誰|だれ|누구|수
助け|助ける|たすける|돕다·구하다|조
瞬間|瞬間|しゅんかん|순간|순간
落ち着け|落ち着く|おちつく|진정하다|락착
最強|最強|さいきょう|최강|최강
用|用|よう|용(쓰임)|용
本|本|ほん|~권(책 세는 말)·본래|본
足り|足りる|たりる|족하다·충분하다|족
反対|反対|はんたい|반대|반대
側|側|がわ|곁·측|측
室|室|むろ|실(방)|실
移動|移動|いどう|이동|이동
先頭|先頭|せんとう|선두|선두
目指せ|目指す|めざす|목표로 하다|목지
食堂|食堂|しょくどう|식당|식당
車|車|くるま|차·수레|차
お腹|御腹|おなか|배(お腹)|어복
鳴っ|鳴る|なる|소리 나다·울리다|명
腹|腹|はら|배(腹)|복
減っ|減る|へる|줄다|감
好き|好き|すき|좋아함|호
味|味|あじ|맛|미
買う|買う|かう|사다|매
早く|早い|はやい|이르다·빠르다|조
直せる|直す|なおす|고치다|직
元|元|もと|원래·전(前)|원
戻そう|戻す|もどす|되돌리다|려
狭い|狭い|せまい|좁다|협
近づか|近付く|ちかづく|다가오다|근부
族|輩|やから|족(놈들)|배
急|急|きゅう|급함|급
来|来る|くる|오다|래
同類|同類|どうるい|동류·같은 부류|동류
偉|偉い|えらい|훌륭하다·잘난|위
黙れよ|黙る|だまる|입 다물다|묵
電流|電流|でんりゅう|전류|전류
硬直|硬直|こうちょく|경직|경직
貴様|貴様|きさま|네놈·이 자식|귀양
金|金|きん|돈·금|금
入れ|入れる|いれる|넣다|입
限定|限定|げんてい|한정|한정
推し|押す|おす|밀다·(팬으로서) 응원하다|압
曲|曲|きょく|곡(노래)|곡
新星|新星|しんせい|신성|신성
液|液|えき|액체|액
弁|弁|べん|말·변론|변
牛丼|牛丼|ぎゅうどん|규동(소고기 덮밥)|우정
語っ|語る|かたる|말하다·이야기하다|어
違う|違う|ちがう|다르다·틀리다|위
和解|和解|わかい|화해|화해
曲っ|曲がる|まがる|굽다·꺾이다|곡
絶対|絶対|ぜったい|절대|절대
状況|状況|じょうきょう|상황|상황
引退|引退|いんたい|은퇴|인퇴
涙|涙|なみだ|눈물|루
操縦|操縦|そうじゅう|조종|조종
秘密|秘密|ひみつ|비밀|비밀
設計|設計|せっけい|설계|설계
段階|段階|だんかい|단계|단계
機体|機体|きたい|기체|기체
巨大|巨大|きょだい|거대|거대
変形|変形|へんけい|변형|변형
完成|完成|かんせい|완성|완성
採用|採用|さいよう|채용|채용
頃|頃|ころ|무렵|경
人員|人員|じんいん|인원|인원
削減|削減|さくげん|삭감|삭감
製品|製品|せいひん|제품|제품
化|化|ばけ|~화(되다)|화
計画|計画|けいかく|계획|계화
実行|実行|じっこう|실행|실행
未だ|未だ|いまだ|아직|미
変身|変身|へんしん|변신|변신
一旦|一旦|いったん|일단·한번|일단
現れ|現われる|あらわれる|나타나다|현
認定|認定|にんてい|인정|인정
全部|全部|ぜんぶ|전부|전부
大丈夫|大丈夫|だいじょうぶ|괜찮음|대장부
同じ|同じ|おなじ|같음|동
死ぬ|死ぬ|しぬ|죽다|사
気づか|気付く|きづく|알아차리다|기부
数|数|すう|수(數)|수
覚ます|覚ます|さます|깨우다|각
警備|警備|けいび|경비|경비
電車|電車|でんしゃ|전차|전차
肉|肉|にく|고기|육
取ん|取る|とる|가지다·받다|취
余裕|余裕|よゆう|여유|여유
焦ら,焦っ|焦る|あせる|초조해하다·서두르다|초
君|君|きみ|너·자네|군
抜け出す|抜け出す|ぬけだす|빠져나가다|발출
方法|方法|ほうほう|방법|방법
手伝っ|手伝う|てつだう|돕다·거들다|수전
攻撃|攻撃|こうげき|공격|공격
付ける|付ける|つける|붙이다|부
意識|意識|いしき|의식|의식
戻る|戻る|もどる|돌아오다|려
無理|無理|むり|무리|무리
作戦|作戦|さくせん|작전|작전
私|私|わたくし|나·저|사
入れ替わる|入れ替わる|いれかわる|뒤바뀌다|입체
流れ|流れ|ながれ|흐름|류
弁護|弁護|べんご|변호|변호
士|士|し|~사(자격을 가진 사람)|사
連絡|連絡|れんらく|연락|련락
余計|余計|よけい|쓸데없음·괜히|여계
出,出る|出る|でる|나가다·나오다|출
恰好|格好|かっこう|모양·꼴|격호
信用|信用|しんよう|신용|신용
休憩|休憩|きゅうけい|휴게·휴식|휴게
左|左|ひだり|왼쪽|좌
扉|扉|とびら|문(짝)|비
真面目|真面目|まじめ|성실함·진지함|진면목
職業|職業|しょくぎょう|직업|직업
誘拐|誘拐|ゆうかい|유괴|유괴
人命|人命|じんめい|인명|인명
救助|救助|きゅうじょ|구조|구조
便利|便利|べんり|편리|편리
屋|屋|や|~집·가게|옥
姉|姉|あね|누나·언니|자
上司|上司|じょうし|상사|상사
料金|料金|りょうきん|요금|료금
払え,払っ,払う|払う|はらう|지불하다|불
足|足|あし|발|족
住ん|住む|すむ|살다|주
殺人|殺人|さつじん|살인|살인
違法|違法|いほう|위법|위법
就く|付く|つく|(직업에) 종사하다·붙다|부
割と|割と|わりと|비교적·꽤|할
業|業|ごう|업(業)|업
飲食|飲食|いんしょく|음식|음식
黙秘|黙秘|もくひ|묵비|묵비
密輸|密輸|みつゆ|밀수|밀수
捕まっ|捕まる|つかまる|붙잡히다|포
運搬|運搬|うんぱん|운반|운반
荷物|荷物|にもつ|짐|하물
中身|中身|なかみ|내용물·알맹이|중신
聞かさ|聞かす|きかす|들려주다|문
言い逃れ|言い逃れる|いいのがれる|발뺌하다|언도
不幸|不幸|ふこう|불행|불행
他人|他人|たにん|타인·남|타인
燃料|燃料|ねんりょう|연료|연료
補給|補給|ほきゅう|보급|보급
食える|食う|くう|먹다|식
吸引|吸引|きゅういん|흡인|흡인
式|式|しき|식|식
美味い|旨い|うまい|맛있다|지
取れ|取れる|とれる|빠지다·풀리다|취
外れ|外れる|はずれる|빠지다·벗어나다|외
意外|意外|いがい|의외|의외
用心|用心|ようじん|용심·조심|용심
深く|深い|ぶかい|깊다|심
捜査|捜査|そうさ|수사|수사
部|部|ぶ|부(部)|부
仕組ま|仕組む|しくむ|꾸미다·설계해 넣다|사조
相手|相手|あいて|상대|상수
起動|起動|きどう|기동·작동|기동
男|男|おとこ|남자|남
女|女|おんな|여자|녀
抵抗|抵抗|ていこう|저항|저항
取り調べ|取り調べ|とりしらべ|취조|취조
麻薬|麻薬|まやく|마약|마약
組織|組織|そしき|조직|조직
繋がり|繋がり|つながり|연결·관련|계
急げ|急ぐ|いそぐ|서두르다|급
基本|基本|きほん|기본|기본
法律|法律|ほうりつ|법률|법률
範囲|範囲|はんい|범위|범위
徹底|徹底|てってい|철저|철저
法人|法人|ほうじん|법인|법인
税|税|ぜい|세금|세
最後|最後|さいご|최후·마지막|최후
感謝|感謝|かんしゃ|감사|감사
無|無|む|없음|무
関心|関心|かんしん|관심|관심
原因|原因|げんいん|원인|원인
聞こえ|聞こえ|きこえ|들림|문
賃金|賃金|ちんぎん|임금|임금
変態|変態|へんたい|변태|변태
四|四|よん|넷·4|사
六|六|ろく|여섯·6|육
中|中|なか|가운데·안|중
次|次|つぎ|다음|차
全滅|全滅|ぜんめつ|전멸|전멸
出せん|出す|だす|내다·꺼내다|출
円|円|えん|~엔(화폐 단위)|원
分割|分割|ぶんかつ|분할|분할
程度|程度|ていど|정도|정도
一般|一般|いっぱん|일반|일반
金額|金額|きんがく|금액|금액
要求|要求|ようきゅう|요구|요구
取引|取り引き|とりひき|거래|취인
妥当|妥当|だとう|타당|타당
受け取れれ|受け取る|うけとる|받다·수령하다|수취
親切|親切|しんせつ|친절|친절
訳|訳|わけ|이유·번역|역
舌打ち|舌打ち|したうち|혀 차기|설타
振り込ま|振り込む|ふりこむ|입금하다|진입
前金|前金|まえきん|선금|전금
残り|残り|のこり|나머지|잔
半分|半分|はんぶん|절반|반분
何者|何者|なにもの|어떤 자·정체|하자
後期|後期|こうき|후기|후기
秒|秒|びょう|초(시간)|초
了解|了解|りょうかい|알겠음·양해|료해
先|先|さき|앞·먼저|선
進め|進める|すすめる|나아가게 하다·진행하다|진
発注|発注|はっちゅう|발주|발주
書|書|しょ|~서(글)|서
怒ら|怒る|おこる|화내다|노
目的|目的|もくてき|목적|목적
税金|税金|ぜいきん|세금|세금
分|分|ぶん|분(시간 단위)·몫|분
校|校|こう|~교(학교)|교
