# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
70|일단 작전을 세우자|とりあえず さくせん たてよう|
71|응, 응|うん うん|
72|그럼, 이게 나지?|じゃあ これ あーしね|
73|그리고 이게 치, 이게 아카네|で これ ちぃで これ あかねちゃん|
74|응|うん|
75|그리고 이게 그놈이지?|で これ あいつね|
76|음… 어느 쪽이 앞이야?|う どっち まえ|
77|앞, 앞이라니?|まえ まえって|
78|열차의|れっしゃの|
79|이렇게|こう|
80|이쪽이 앞|こっちが まえ|
81|아, 그런 거구나|あー そういうことね|
82|응? 이게 치하루?|ん これ ちはる|
83|이게 치하루|これが ちはる|
84|응? 이게 아카네?|ん これ あかねちゃん|
85|아니 이건 그놈이야|いや これは あいつだよ|
86|그놈이라면?|あいつって|
87|그거 있잖아… 그|あれだよ あの|
88|경비 로봇|けいびロボ|
89|경비 로봇!|けいびロボ|
90|어, 치하루는 어디?|あれ ちはる どれ|
91|이거!|これ|
92|나는 이거인 거지?|わたしは これなんだよね|
93|응… 아니야!|そう ちがう|
94|엇|えっ|
95|이거 아마 이렇게 바뀔 거야|これ たぶん こう いれかわるんだよ|
96|아, 그런 거구나|あぁ そういうことか|
97|알겠어?|わかった|
98|응|うん|
99|아마|たぶん|
100|일단 나머지는 흐름대로 어떻게든 되겠지?|とりあえず もうあとは ながれで なんとかなるべ|
101|어떻게든 될 거야|なんとかなると おもう|
102|무조건 어떻게든 돼!|ぜったい なんとかなる|
103|그치|だよね|
104|간다? 3, 2, 1|いくぞ さん に いち|
105|부르르르릉|ぶるるるるる|
106|부르르르릉|ぶるるるるる|
107|젠장----!|くそーーー|
