# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음
#   어간 = 카드 본문(교정문)에 실제로 나오는 문자열. 긴 어간부터 맞춘다.
#   같은 한자가 읽기에 따라 다른 말이면 오쿠리가나까지 어간에 넣는다 (太っ=太る / 太=太い, 死体 / 死).
感|〜感|〜かん|〜한 느낌 (やりきった感)|감
戻され|戻す|もどす|되돌리다|려
把握|把握|はあく|파악|파악
抑え|抑える|おさえる|억누르다|억
投げ|投げる|なげる|던지다|투
持|持つ|もつ|갖다·들다|지
握っ|握る|にぎる|쥐다|악
教え|教える|おしえる|가르치다|교
教室|教室|きょうしつ|교실|교실
方|方|ほう|쪽|방
日本|日本|にほん|일본|일본
日|日|ひ|날|일
昨日|昨日|きのう|어제|작일
昼休み|昼休み|ひるやすみ|점심시간|주휴
時間|時間|じかん|시간|시간
時|時|とき|때|시
普通|普通|ふつう|보통|보통
暗殺|暗殺|あんさつ|암살|암살
書|書く|かく|쓰다|서
本人|本人|ほんにん|본인|본인
本当|本当|ほんとう|정말|본당
来|来る|くる|오다|래
格好|格好|かっこう|차림새|격호
桁|桁|けた|자릿수|항
楽し|楽しい|たのしい|즐겁다|락
様子|様子|ようす|상황·모습|양자
正解|正解|せいかい|정답|정해
歩い|歩く|あるく|걷다|보
歪む|歪む|ゆがむ|일그러지다|왜
段々|段々|だんだん|층층이|단단
殺|殺す|ころす|죽이다|살
比べ|比べる|くらべる|비교하다|비
気づ|気づく|きづく|눈치채다|기
気|気|き|마음·기분·낌새 (気がする·気にする·気をそらす)|기
汚かっ|汚い|きたない|더럽다|오
波長|波長|はちょう|파장|파장
泣|泣く|なく|울다|읍
流れ|流れ|ながれ|흐름|류
温かい|温かい|あたたかい|따뜻하다|온
満ち|満ちる|みちる|가득 차다|만
激しい|激しい|はげしい|심하다·격렬하다|격
無理|無理|むり|무리|무리
無知|無知|むち|무지|무지
特殊|特殊|とくしゅ|특수|특수
特集|特集|とくしゅう|특집|특집
性癖|性癖|せいへき|성적 취향|성벽
猫|猫|ねこ|고양이|묘
獣|獣|けもの|짐승|수
珍しく|珍しい|めずらしい|드물다·신기하다|진
用|用|よう|용도 (パーティー用)|용
男子|男子|だんし|남자아이·남학생|남자
疑っ|疑う|うたがう|의심하다|의
痛い|痛い|いたい|아프다·(사람이) 오글거리다|통
皆さん|皆さん|みなさん|여러분|개
目|目|め|눈|목
眠れ|眠る|ねむる|잠자다|면
知|知る|しる|알다|지
確か|確か|たしか|분명·확실히|확
社会|社会|しゃかい|사회|사회
神崎|神崎|かんざき|칸자키 (인명)|신기
君|君|くん|〜군|군
私|私|わたし|나|사
突然|突然|とつぜん|갑자기|돌연
筆箱|筆箱|ふでばこ|필통|필상
終わっ|終わる|おわる|끝나다|종
結果|結果|けっか|결과|결과
結論|結論|けつろん|결론|결론
給食|給食|きゅうしょく|급식|급식
絶対|絶対|ぜったい|절대|절대
綺麗|綺麗|きれい|예쁨·깨끗함|기려
縁|縁|えん|인연|연
繰り|繰り返す|くりかえす|되풀이하다|조
美しい|美しい|うつくしい|아름답다|미
美人|美人|びじん|미인|미인
考え|考える|かんがえる|생각하다|고
脳|脳|のう|뇌|뇌
苦痛|苦痛|くつう|고통|고통
菓子|お菓子|おかし|과자|과자
血|血|ち|피|혈
行|行く|いく|가다|행
衝動|衝動|しょうどう|충동|충동
見下し|見下す|みくだす|깔보다|견하
見|見る|みる|보다|견
言|言う|いう|말하다|언
読者|読者|どくしゃ|독자|독자
読|読む|よむ|읽다|독
誰|誰|だれ|누구|수
調べ|調べる|しらべる|조사하다|조
買っ|買う|かう|사다|매
足りな|足りる|たりる|충분하다|족
跡|跡|あと|자국|적
身長的|身長的に|しんちょうてきに|키 면에서|신장적
近く|近く|ちかく|가까이|근
返|返す|かえす|돌려주다|반
迷惑|迷惑|めいわく|민폐|미혹
逃し|逃す|のがす|놓치다|도
連絡|連絡|れんらく|연락|연락
違|違う|ちがう|다르다|위
醜い|醜い|みにくい|추하다|추
重い|重い|おもい|무겁다|중
鋭利|鋭利|えいり|예리함|예리
間違え|間違える|まちがえる|착각하다|간위
隙|隙|すき|틈|극
雑誌|雑誌|ざっし|잡지|잡지
電波|電波|でんぱ|전파 (속어: 이상한 소리를 하는 사람)|전파
静か|静か|しずか|조용함|정
面倒|面倒|めんどう|귀찮음|면도
面白い|面白い|おもしろい|재밌다|면백
頭|頭|あたま|머리|두
顔|顔|かお|얼굴|안
食べ|食べる|たべる|먹다|식
飢え|飢える|うえる|굶주리다|기
騒がし|騒がしい|さわがしい|시끄럽다|소
黙る|黙る|だまる|입 다물다|묵
鼻歌|鼻歌|はなうた|콧노래|비가
作家|作家|さっか|작가|작가
作っ|作る|つくる|만들다|작
高|高い|たかい|높다|고
与え|与える|あたえる|주다|여
邪魔|邪魔|じゃま|방해|사마
設定|設定|せってい|설정|설정
下書き|下書き|したがき|초안|하
世界|世界|せかい|세계|세계
歪|歪む|ゆがむ|일그러지다|왜
