# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석|화자   — id 는 seg.py 의 분할 결과에 대응
#   화자: 市川 / 市川〈〉(속마음) / 山田 / 小林 / モエ / 神崎 / 南条 / 足立 / 先生 / 店員 / 男子 / 女子.  '·' 로 이으면 한 카드에 둘 이상
59|여자애들은 저렇다. 좀 얼굴 예쁜 애를 안주 삼아 질투로|じょしは そう ちょっと かおが いい やつを ネタに しっとに|ネタにする=안줏거리로 삼다|市川〈〉
60|범벅이 된 추한 존재 / 봐 봐, 여기 같은 건|まみれる みにくい そんざい みてよ ここなんて|〜にまみれる=〜범벅이 되다|市川〈〉·モエ
61|초콜릿 묻은 자국을 글자 일부로 해 놔서, 눈을|チョコが ついた あと じの いちぶに してて めを|跡=자국|モエ
62|의심했다니까. 그건 확실히 심하다. 거봐, 그건 아니지|うたがったよ それは たしかに ひどい ほら それは ないわ|目を疑う=눈을 의심하다|モエ·女子
63|본인도 별로 신경 안 쓰는 건가|ほんにんも あまり きに してないのか|気にする=신경 쓰다|市川〈〉
64|저희는 정당제에 대해 조사해 왔습니다|わたしたちは せいとうせいに ついて しらべて きました|政党制=정당제|女子
65|미국의 양대 정당, 일본의 정당 등, 여러분도|アメリカの にだい せいとう にほんの せいとう とか みなさんも|二大政党=양대 정당|女子
66|완전히 표정이 죽어 있어. 역시 신경 쓰고 있잖아|めちゃくちゃ かおが しんでる やっぱり きに してる じゃないか|顔が死んでる=표정이 죽었다|市川〈〉
67|결론부터 말하면 일본도 양대 정당제로 하면 좋겠다고 생각합니다|けつろんから いうと にほんも にだい せいとうせいに すれば いいと おもいます|結論から言うと=결론부터 말하면|女子
68|시끄러워|うるせえよ|うるさい 의 거친 형|市川〈〉
69|우리 조는 SDGs에 대해 조사해|ぼくたちの はんは エスディージーズに ついて しらべて||男子
70|왔습니다. 여러분… / 다 써 있었으니 나머지는 맡기자|きました みなさん… かいて あったし あとは まかせよう||男子·市川〈〉
71|그런 사소한 일로|そんな ちょっとした ことで|ちょっとしたこと=사소한 일|市川〈〉
72|아니, 사소한 일이 아닌 거다. 야마다에게는|いや ちょっとした こと じゃないんだ やまだに とっては|〜にとって=〜에게 있어|市川〈〉
73|무슨 일 있었어?|なんか あった||女子
74|울고 있어. 뭔가 주의를 돌릴 것을|ないてる なにか きを そらす もの|気をそらす=주의를 돌리다|市川〈〉
75|그럼 발표는 이상으로|それでは はっぴょうは いじょうで||男子
76|뭐 하는 거야?|なに してんの||先生
77|이미 끝났으니까 됐잖아|もう おわったんだから いいだろ||男子
78|됐어, 나는 머리가 이상한 놈이니까|いいさ ぼくは あたまが おかしいんだ||市川〈〉
79|이걸로 실컷 울면 (돼)|これで おもう ぞんぶん なけば|思う存分=실컷|市川〈〉
80|뭐|な||市川
81|뭐야 대체|なん なんだよ||市川
82|이번 달 호 시엘 봐 줬어?|こんげつごうの シエル みて くれた|今月号=이번 달 호, シエル=잡지 이름|女子
83|키 때문에|しんちょうてきに|身長=키|女子
84|무거워|おもいよ||山田
85|어쩔 수 없네|しょうがないな|뒤에 이어지는 말은 인식 오류로 원문 불명|山田
86|스킨십 심한 애는 밝힌다니까. 코바야시가 남자친구라고 생각하고|スキンシップの はげしい やつは スケベ こばやしが かれしだと おもって|スケベ=밝힘·음탕|足立
87|상상해 봐 / 천재적 망상… 그만해|そうぞう してみろ てんさいてき もうそう やめろ||足立·市川〈〉
88|아니 야마다 같은 여자, 섹파로 삼고 싶지|いや やまだ みたいな おんな セフレに したいよなぁ|남학생의 저속한 농담|足立
89|난 너무 미인이면 별로던데|おれは びじん すぎると あんまり だなぁ|〜すぎる=너무 〜하다|男子
90|이 반이면 하라 같은 애라든가|この クラスだと はらさん とか||男子
91|너 진짜 밝히네. 온몸이 거시기잖아|おまえ ホント スケベだな ぜんしん チンポだろ|거친 남학생 농담|男子
92|또 있어|また いる||市川〈〉
93|만나러 온 거야?|あいに きたの||山田
94|불려 나와서. 이거 먹을래? / 나 다이어트 중이라|よびだされて これ たべる わたし ダイエットちゅう だから|呼び出す=불러내다|神崎·山田
95|거짓말하네 / 좋아하는 걸 좋아하는 때에 먹는다, 그게 나의|うそつけ すきな ものを すきな ときに たべる それが わたしの|嘘つけ=거짓말하지 마|市川〈〉·山田
96|라이프스타일이야|ライフスタイル なんだよ||山田
97|의식이 높은 척하지만 완전 낮네|いしき たかげ だけど めちゃくちゃ ひくいな|意識高い系=의식 높은 척하는 부류|市川〈〉
98|그래도 먹고 싶은 만큼 먹은 결과가 이거니까|でも すきな だけ たべた けっかが これ だからさ|〜だけ=〜만큼|山田
99|야 입 다물지 마, 수습해라 / 칸자키 군. 아니 벌써 와 있었구나. 응|おい だまるな フォロー しろ かんざきくん いや もう きてたんだ うん|フォローする=수습하다|市川〈〉·山田·神崎
100|저기|あの||神崎
101|드디어인가. 설마 이 흐름, 고백? / 저기, 실은|いよいよか まさか この ながれ こくはく あの じつは|告白=고백|市川〈〉·神崎
102|이 멤버 조합 신기하지 않아? / 야마다 완전 방해잖아|この メンツ めずらしく ない やまだ ぜったい じゃま だろ|メンツ=멤버 구성|女子·市川〈〉
103|거짓말. 다이어트엔 식이섬유가 좋대|うそ ダイエットには しょくもつせんいが いいんだって|食物繊維=식이섬유|女子
104|다이어트 하고 있어?|ダイエット してるの||神崎
105|살쪄 버려서 / 나는 통통한 쪽이 좋은데|ふとっちゃった から おれは ぽっちゃり してる ほうが いいかな|ぽっちゃり=통통함|山田·神崎
106|남자가 말하는 통통과 여자의 통통은 다르다고|だんしの いう ぽっちゃりと じょしのは ちがうんだよ||市川〈〉
107|(앞 카드에 이어지는 어미)|よ||市川〈〉
108|아니 근데 난 굵으면 굵을수록 좋다고 할까, 세 자릿수여도|いや でも おれ ふとければ ふとい ほど いい っていうか さんけた でも|〜ば〜ほど=〜할수록|神崎
109|좋다고 할까|いい というか||神崎
110|층이 져 있는 게 좋은 거야|だんだんに なってるのが いいんだよ|段々=층층이|神崎
111|그만해, 야마다한테 특수 성벽의 존재를 알려 주지 마|もう やめろ やまだに とくしゅ せいへきの そんざいを おしえるな|性癖=성적 취향|市川〈〉
112|거기서 눈치채는 건 실례잖아. 하지만 눈치챘다|そこで きづくの しつれい だろ だが きづいた|失礼=실례|市川〈〉
113|그럼 나머진 알겠지. 자, 어서 나가서|なら あとは わかるよな さあ すぐ でていって||市川〈〉
114|둘만… / 누구 있어? / 고양이 아니야? / 이런 데 있을 리가 없잖아|ふたりきりに… だれか いる ねこ じゃない こんな ところに いる わけない|〜わけない=〜일 리 없다|市川〈〉·神崎·山田
115|(있을 리 없)잖아|だろう||神崎
116|설마 나더러 고양이를 하라고|まさか ぼくに ねこを やれと||市川〈〉
117|죽고 싶다 / 잠깐 보고 올게|しにたい ちょっと みてくる||市川〈〉·神崎
118|고양이 말이야, 이거 싸울 때 소리야 / 그래?|ねこってさ これ けんかの ときの こえだ そうなの|喧嘩=싸움|神崎·山田
119|아까랑 다른 애고, 싸울지도|さっきとは ちがう こだし けんか するかも||神崎
120|미안해|ごめんね||山田
121|고양이 좋아해. 우리 집에 두 마리 있어|ねこ すきなの うち にひき いるの|〜匹=마리|山田
122|참 나, 그렇게 임무 완수한 표정을 지어도… / 다행이다|やれやれ そんな しごと やりきった かん だされても… よかったね|やり切った感=해냈다는 느낌|市川〈〉·山田
123|야마다와 공동 작업을 해 버렸다|やまだと きょうどう さぎょう して しまった|共同作業=공동 작업|市川〈〉
124|야마다 안나, 대체 뭐야. 걸핏하면 내 앞에|やまだ あんな いったい なん なんだ なにかと いうと ぼくの まえに|何かというと=걸핏하면|市川〈〉
125|분명 이번 달 호라고 했었지|たしか こんげつごう とか いってたな||市川〈〉
126|이 차림으로는 위험한가|この かっこうでは きけんか|格好=차림새|市川〈〉
127|연말 특집이라고 했던가|としこし とくしゅう とか いってたな|年越し=해넘이 (원문 인식 불명확)|市川〈〉
128|이건가|これか||市川〈〉
129|야마다? 아니 잘못 봤을지도 / 나 요즘 이 잡지 좋아하거든요 / 네, 그러시군요|やまだ いや みまちがい かも うち さいきん この ざっし すきでさー はい そうなんだ|見間違い=잘못 봄|市川〈〉·山田·店員
130|어떤 계열? 깔끔한 느낌? 좋네요 / 야마다잖아. 뭘|なにけい きれいな かんじ いい かんじ やまだ だわ なに||店員·市川〈〉
131|존재를 어필하고 있는 거야|そんざい アピール してんだ||市川〈〉
132|여러분|みんな||山田
133|독자를 놓쳤군|どくしゃを のがしたな|逃す=놓치다|市川〈〉
134|어, 그만해, 그건 진짜 가게에 민폐니까|え やめろ それは ほんとうに おみせの めいわくに なるから|迷惑=민폐|市川〈〉
135|사인 대기하지 마, 넌 작가가 아니잖아|サインまち するな おまえ さっか じゃないだろ||市川〈〉
136|거봐, 도로 꽂혔잖아|ほら もどされた|戻す=되돌리다(수동)|市川〈〉
137|야마다도 꽤 오글거리는 녀석이구나|やまだも わりと いたい やつ なんだな|痛い=(사람이) 오글거리는·민망한|市川〈〉
138|어쩔 수 없지. 아까 잃은 독자 몫까지 사|しかたないな さっき うしなった どくしゃの ぶんも かって||市川〈〉
139|줄까|やるか|買ってやる=사 주다|市川〈〉
140|어디 보자|どれどれ||市川〈〉
141|인연 없는 세계로군|えんの ない せかいだな|縁がない=인연이 없다|市川〈〉
142|어라, 아니네. 이랬던가|あれ ちがう こう だったか||市川〈〉
143|이거다|これだ||市川〈〉
144|뭔가|なんか||市川〈〉
145|모르는 여자 같다|しらない おんなの ひと みたいだ||市川〈〉
146|갑자기 아무래도 상관없어졌다|とつぜん どうでも よく なった||市川〈〉
147|뭔가 시시한 감정을 갖고 있었던 것 같다. 그래|なんだか くだらない かんじょうを もっていた きが する そうだ|くだらない=시시하다|市川〈〉
148|나와 야마다는 전혀 다른 세계의 인간이다|ぼくと やまだは まったく ちがう せかいの にんげん なんだ||市川〈〉
149|시시해. 뭐든 다 아무래도 좋아|くだらない なにもかもが どうでも いい|何もかも=모든 것|市川〈〉
150|아까우니까 한 번 쓰게 해 줘|もったいないんで いっかい つかわせてよ|もったいない=아깝다|市川
151|어제는 별로 못 잤네|きのうは あんまり ねむれなかったな||市川〈〉
152|정말, 왜 그런 걸 사 버린 거지|ほんと なぜ あんな もの かって しまったんだ||市川〈〉
153|아니, 그렇지. 있겠지. 당연하지. 그게 보통이다|いや そうだよな いるだろ そりゃ そうだ それが ふつうだ|そりゃそうだ=당연하지 (남자친구가 있겠지, 라는 뜻)|市川〈〉
154|아무래도 좋아|どうでも いいよ||市川〈〉
155|라인? 그게 뭔데요 / 알잖아, 자 이거이거 / 난조|ライン なんですか それ しってるでしょ ほら これこれ なんじょう||山田·南条
156|헌팅인가|ナンパか|ナンパ=헌팅|市川〈〉
157|SNS 야 / SNS 무지 설정은 너무 무리잖아|エスエヌエス だよ エスエヌエス むち せっていに むりが ありすぎ だろ|無理がある=무리가 있다|南条·市川〈〉
158|친구랑은 어떻게 연락해?|ともだちとは どうやって れんらく してるの||南条
159|뇌의 파장을 맞추면 서로의 생각을 읽을 수 있게|のうの はちょうを あわせると おたがいの しこうが よめる|波長=파장|山田
160|돼요 / 전파계… 완전 질색|ように なるんですよ でんぱ ドンびき|電波=(속어) 이상한 소리 하는 사람, ドン引き=질색|山田·市川〈〉
161|그럼 지금 내가 무슨 생각하는지 알아? / 이 녀석 강하다|じゃあ いま おれが なに かんがえてるか わかる こいつ つよい||南条·市川〈〉
162|아이스크림 먹고 싶다 / 그건 너잖아 / 정답은 "가까이서|アイス たべたい おまえだろ それ せいかいは ちかくで||山田·市川〈〉·南条
163|보니까 엄청 귀엽다"였습니다 / 짜증나. 슬슬|みると すげー かわいい でした うぜー いいかげん|いい加減=슬슬·적당히|南条·市川〈〉
164|눈치채라고, 귀찮아하고 있다니까 / 대단해, 야마다 씨는|きづけよ ウザがってるって すごい やまださんって|ウザがる=귀찮아하다|市川〈〉·南条
165|의외로 재밌네 / 정말요?|いがいと おもしろいよね ほんとう ですか|意外と=의외로|南条·山田
166|"재밌다"가 최고의 칭찬인 거냐|おもしろいが さいこうの ほめことば なのかよ|褒め言葉=칭찬|市川〈〉
167|LINE 모른다는 대목이라든가|ライン しらない くだり とか|くだり=대목|南条
168|저건 몇 번이나 하고 있는 거라서|あれは なんども やってるんで|何度も=몇 번이나|市川〈〉
169|정말 몰라요|ほんとうに しらないんですよ||山田
170|야마다 씨 정말 재밌네|やまださん ほんとうに おもしろいね||南条
171|즐거워하지 마|たのしそうに するなよ||市川〈〉
172|진짜로 가르쳐 줘|ほんとうに おしえてよ||南条
173|라인이라니까|ライン だから||南条
174|진짜로 말이야|マジでさ|マジ=진짜|南条
175|아무래도 좋아|どうでも いい||市川〈〉
176|아무래도 좋다니까|どうでも いいな||市川〈〉
177|아무래도 좋잖아|どうでも いい だろう||市川〈〉
178|나는 머리가 이상한 걸까|ぼくは あたまが おかしいのか||市川〈〉
179|자전거가 펜스에 부딪혔다|じてんしゃが フェンスに ぶつかった|ぶつかる=부딪히다|男子
180|봤어? 이치카와가 자전거를 던졌다니까|みた いちかわくんが じてんしゃ なげたんだよ|投げる=던지다|女子
181|들켰다|みられてた|見られる=보이다(수동)|市川〈〉
182|왜 던진 거야?|なんで なげたの||女子
183|액셀과 브레이크를 헷갈려서|アクセルと ブレーキ まちがえて|間違える=착각하다. 자전거에 액셀은 없다, 얼버무리는 말|市川
184|이치카와는 재밌네|いちかわって おもしろいね||山田
