# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
80|타케우치 씨도 저도 있어서|たけうちさんも ぼくも あって|音声認識が不明瞭な人名
81|타케우치 씨가 어떤 식으로 담배를 피우는지|たけうちさんが どんな ふうに タバコ すうんだろうって いう|
82|하루미치로서 할 때가 되니 이렇게 보게 해주셔서|はるみちと してって なった ときに こう みさせて いただいて|
83|저도 같은 위치쯤에 담배를 끼우고|ぼくも おなじ いちらへんに タバコを はさんで|
84|각도를 조금 이렇게 해보는 식으로|かくどを ちょっと やってみて みたいな|
85|야, 뭔가 뭉클하네|ねえ なんか ぐっと くるね|
86|히카리 씨가 젊은 친구들에게 워크숍을 해줘서|ひかりちゃんが ワークショップを わかい こたちに やってくれて|
87|두세 번. 제가 가르칠 건 아무것도 없으니까|にさんかい わたしが おしえる ことなんか ないから|
88|자기가 좋아할 수 있는 연기 방식이란, 나라면 이렇다 같은 이야기라든가|じぶんが すきに なれる おしばいの しかたって わたしだったら こうだな みたいな はなしとか|
89|점점 역시 흡수하고, 눈이 반짝반짝해서|どんどん どんどん やっぱり きゅうしゅうするし めが キラキラして|
90|얼마나 멋진 두 사람인가 하고|なんて すてきな ふたりなんだろうと|
91|장인의 시야와 마음이 가장 있다|もう しょくにんの しや おもいが いちばん ある|音声認識が不明瞭な箇所
92|푸드 코디네이터분이 전체를 통틀어 식사를 만들어 주셔서|フードコーディネーターの かたが ぜんたいを とおして しょくじを つくって くれていて|
93|식사 장면이 오면 다들 승리 포즈를 하고|しょくじの シーンが くると みんなが ガッツポーズで|
94|대단한 밥은요, 볼거리 중 하나라고 생각해요|すごい ごはんはね みどころの ひとつだと おもいます|
95|냄새라든가 맛이라든가 눈에 보이지 않는 것에서|においとか あじとか めに みえない ものから|
96|거기서 생기는 감정 같은 걸 화면에서 풍기고 싶다|そこから うまれる かんじょう みたいな ものを がめんから におわせたい|
97|보는 분께 전하고 싶다는 점이 필요했다고 생각해서|みてる かたに つたえたいって いう ところが ひつようと されてたと おもうので|
98|맛 같은 건 직접 전할 수 없잖아요, 보는 손님한테는|あじとかは ちょくせつ つたえられないじゃ ないですか みてる おきゃくさんには|
99|우리의 역할이구나 생각하면서|われわれの やくめなんだなと おもいながら|
100|그러니까 중요한 장면이구나 생각하면서|だから だいじな シーンだなと おもいながら|
101|하고 있었어요|やってました|
102|그렇게까지 로케 장소가 바뀌는 건 작품에서|あんだけ ロケちが かわるのは さくひんで|
103|없어요|ない|
104|저라든가 타케루 군이라든가|わたしとか たけるくんとか|
105|리카코 양이라든가|りかこちゃんとか|
106|타이세이 군이라든가도 그렇지만|たいせいくんとかもだけど|
107|쭉 많이 나오는 친구들도|ずーっと たくさん でてる こたちも|
108|여러 장소에 가니까|いろんな ばしょ いってるから|
109|여러 풍경 속에 그 사람의 얼굴이 있어서|いろんな けしきの なかに その ひとの かおが あって|
110|조금 재미있었어요|ちょっと おもしろかったです|
111|얼굴이, 얼굴이 조금 떨어져 버렸네|かおが かおが ちょっと おちちゃった|
112|추울 때 촬영이라|さむい ときの さつえいで|
113|유빙이 흘러오기도 해서|りゅうひょうが ながれてきたり して|
114|아, 대단하다 싶기도 하고|あ すごいなとか|
115|러브 스토리는 역시 아름다웠으면 하잖아요|ラブストーリー やっぱり うつくしく あって ほしいじゃ ないですか|
116|홋카이도는 최고의 로케이션이었어요|ほっかいどうは さいこうの ロケーションでした|
117|굉장히 경치가 아름다워서|ものすごく けしきが うつくしくて|
118|신비로운 운해가 뜬 날이라든가|しんぴてきな うんかいが でた ひとか|
119|설경도 훌륭하고|ゆきげしきも すばらしいし|
120|실제 장소인 기지에 가서|じっさいの ばしょで きちに いって|
121|자위대 분들의 협조를 받아 촬영했습니다|じえいたいの かたにも きょうりょくして いただいて さつえいさせて いただきました|
122|파일럿을 역할로서나마 앉아볼 수 있었던 건 굉장히 텐션이 올라갔어요|パイロットを やくと してでも すわれたのは ひじょうに テンションが あがりました|
123|다만 역시 동작이나 대사는 어려웠어요|ただ やっぱり しょさとか セリフとかは むずかしかったです|
124|좀처럼 경험할 수 없는 일까지 하게 해주셨구나 생각해요|なかなか けいけん できない ことでも させて もらったなと おもってます|
125|하네다 공항 일부에 300, 400명을 넣어서|はねだくうこうの いちぶを さんびゃく よんひゃくにん いれて|
126|평범한 공항 광경을 만든 건 좀|ふつうの くうこうの こうけいを つくったのは ちょっと|
127|와, 이거 전부 촬영팀이구나 생각하면서|わあ これ ぜんぶ さつえいたいなんだよなと おもいながら|
128|'첫사랑'이라는 곡이 탄생하기까지의 시간을 드라마로 만들었다는 건|はつこいって いう きょくが うまれるまでの あいだを ドラマに しましたって いうのは|
129|굉장히 흥미가 끌리는 기획이었고|すごく きょうみ ひかれる プレゼンだったし|
130|이것도 대단한 일이라고 생각하는데|これも すごい ことだと おもうんですけど|
131|감독님이 전부 혼자서 전편 각본을 쓰고 있어요|かんとくさんが ぜんぶ ひとりで ぜんわ きゃくほんを かいてるんですよ|
132|가사를, 'Automatic'도 넣어서|かしを オートマチックも いれて|
133|몇 주간 계속 봤는데|すうしゅうかん ずっと みてて|
134|일관되게 신체적 반응에 대한 노래가 아닐까 싶어서|いっかんして フィジカルの はんのうに ついての うたなんじゃ ないかなと おもって|
135|뭔가 이성보다 마음이 몸에 나타난다는 걸 이야기로 만들 수 있으면 좋겠다고 생각했어요|なんか りせいよりも きもちが からだに あらわれるって いうことを ものがたりに できたら いいなと おもいました|
136|완성된 드라마를 봤을 때 'First Love'가 흐르는 부분이 정말 좋아요|できあがった ドラマを みた ときに ファーストラブが ながれてる ところが ほんとうに いいんですよ|
137|영상과 음악이 화학반응했을 때의 강렬함 같은 매력이 폭발하고 있구나 싶어서|えいぞうと おんがくの かがくはんのうした ときの つよさ みたいな みりょく みたいな ものが ばくはつしてるなと おもって|
138|오늘 대본 가져왔어요, 이거|きょう だいほん もってきたの これ|
139|짜잔|じゃーん|
140|대단해요|すごいんだよ|
141|활판 인쇄라는 거예요|かっぱんいんさつって いうの|
142|대본 로고라든가|だいほんの ロゴとか|
143|종이 질감이라든가|かみの しつかんとか|
144|엄청 신경 쓰세요, 감독님이|めっちゃ こだわるの かんとくが|
145|색감이라든가 질감이라든가|いろみとか しつかんとか|
146|날씨까지도 고집이 있으니까|てんきですら こだわりが あるから|
147|하나의 화면 안에|ひとつの えの なかに|
148|세 가지 색 이내로|さんしょく いないで|
149|같은 톤으로|おなじ トーンで|
150|보색을 쓸 거라면|ほしょくを つかうんだったら|
151|이야기에서 크게 의미가 되니까|ものがたりの おおきく いみに なってくるので|
152|라는 가이드라인을 처음에 어느 정도 만들어 두고|って いう さいしょに ガイドラインを わりと つくって|
153|다만 영상이다 보니 본인들이 움직이면 배경도 바뀌니까|ただ どうがなので ほんにんたちが うごくと はいけいも かわっていくので|
154|간판이 저쪽에 있으면|かんばんが むこうの ほうに あったら|
155|그런 (눈에 띄는) 걸 찍으러 가기도 하고|そういう しょうげきの やつを とりに いったりとか|音声認識が不明瞭な箇所
156|이쪽에서 컨트롤할 수 있는 의상이라든가|こちらで コントロール できる いしょうとか|
157|실제 물건이라든가 하는 건|ほんものだったりとかって いうのは|
158|비교적 철저하게|わりと てっていして|
159|색에 관해서는 눌러 갔던 느낌으로|いろに かんしては おさえていった かんじで|
160|그래서 감독님은 아무튼|そう かんとくは とにかく とにかく|
161|고집이 강한 분이라|こだわりの つよい かたで|
162|칸치쿠 씨는 자신이 지금까지 살아온 인생에서|かんちくさんは じぶんが いままで いきてきた じんせいで|
163|가질 수 있는 한의 아름답다거나 사랑스럽다고 느끼는 것을|もてる かぎりの うつくしいとか いとおしいと おもう ものを|
164|작품 안에 펼쳐놓은 거구나 하는 느낌이 들어요|さくひんの なかに ひろげたんだろうなと いう かんじは しますね|
165|한 번으로는 부족한|いっかいじゃ たりない|
166|신기하고 매력적인 작품이라고 생각합니다|ふしぎで みりょくてきな さくひんだと おもいます|
167|여러분 자신과 겹쳐 보시면 좋겠습니다|みなさん ごじしんと かさねあわせて みて いただけたら うれしいです|
168|정말 풋풋하게 그려져 있으니까요|ほんとうに あまずっぱく えがかれてますので|
169|지금까지 없던 러브 스토리를 만들고 싶다고 생각해서|いままで いない ラブストーリーを つくりたいなと おもって|
170|소중한 사람이 역시 이렇게나 소중하구나 하고 돌아보는 계기가 되어 준다면 기쁘겠습니다|たいせつな ひとが やっぱり こんなに たいせつなんだとか おもいかえして くれる きっかけに なって くれたら うれしいなと おもいます|
171|꼭 받아주시고 이 작품을 소중히 여겨 주시면 기쁘겠다고|ぜひ うけとって いただいて この さくひん たいせつに して いただけたら うれしいなと|
172|길에서 스쳐 지나가면 감상을 들려주세요|まちで すれちがったら かんそうを きかせて ください|
