# 형식: 種類|日本語|読み|韓国語|メモ   (E = 표현・문형, V = 단어)
# --- 표현 ---------------------------------------------------
E|簡単そうで難しい|かんたんそうで むずかしい|쉬워 보이면서 어렵다|〜そうだ=~해 보이다
E|力を抜いて|ちからを ぬいて|힘을 빼고|관용구
E|教えることなんかないから|おしえる ことなんか ないから|가르칠 게 없으니까|〜なんかない=~따위 없다(겸손)
E|好きになれる|すきに なれる|좋아할 수 있게 되다|なる의 가능형
E|作ってくれていて|つくって くれていて|만들어 주고 있어서|〜てくれる=(남이) ~해 주다
E|伝えられないじゃないですか|つたえられないじゃ ないですか|전할 수 없잖아요|가능형 부정 + 〜じゃないですか
E|見どころの一つ|みどころの ひとつ|볼거리 중 하나|見どころ=볼만한 곳
E|美しくあってほしい|うつくしく あって ほしい|아름다웠으면 좋겠다|형용사 연용형+ある+〜てほしい
E|協力していただいて|きょうりょくして いただいて|협조해 주셔서|겸양 표현
E|させてもらったな|させて もらったな|(귀한 경험을) 하게 해 주셨구나|사역+수수
E|テンションが上がりました|テンションが あがりました|텐션이 올라갔어요|관용 표현
E|生まれるまでの間|うまれるまでの あいだ|탄생하기까지의 사이|〜までの間=~하기까지의 동안
E|できたらいいなと思いました|できたら いいなと おもいました|할 수 있으면 좋겠다고 생각했어요|〜たらいいな=~하면 좋겠다
E|こだわりが強い|こだわりが つよい|고집이 세다·까다롭다|こだわる=고집하다
E|意味になってくる|いみに なってくる|의미가 되어 온다|〜になる+〜てくる
E|抑えていった感じで|おさえていった かんじで|눌러 간 느낌으로|〜ていく=~해 가다
E|持てる限りの|もてる かぎりの|가질 수 있는 한의|〜限り=~하는 한
E|重ね合わせて見ていただけたら|かさねあわせて みて いただけたら|겹쳐서 봐 주시면|겸양 〜ていただく+〜たら
E|きっかけになってくれたら|きっかけに なって くれたら|계기가 되어 준다면|きっかけ=계기
E|受け取っていただいて|うけとって いただいて|받아 주셔서|겸양 표현
# --- 단어 ---------------------------------------------------
V|壮大|そうだい|웅장함|
V|挑戦|ちょうせん|도전|
V|素朴|そぼく|소박함|
V|航空自衛隊|こうくうじえいたい|항공자위대|
V|警備員|けいびいん|경비원|
V|撮影|さつえい|촬영|
V|目線|めせん|시선|
V|目つき|めつき|눈매|
V|把握|はあく|파악|
V|女優|じょゆう|여배우|
V|正直|しょうじき|솔직함|
V|一切|いっさい|일절·전혀|
V|行動原理|こうどうげんり|행동 원리|
V|現場|げんば|현장|
V|志|こころざし|뜻·포부|
V|共演|きょうえん|함께 연기함|
V|本番|ほんばん|실전·본방|
V|構築|こうちく|구축|
V|俳優|はいゆう|배우|
V|伝染|でんせん|전염|
V|出産|しゅっさん|출산|
V|映像|えいぞう|영상|
V|監督|かんとく|감독|
V|細部|さいぶ|세부|
V|丁寧|ていねい|정성스러움|
V|小指|こゆび|새끼손가락|
V|感情|かんじょう|감정|
V|表情|ひょうじょう|표정|
V|所作|しょさ|동작·몸짓|
V|流氷|りゅうひょう|유빙|
V|雲海|うんかい|운해|
V|雪景色|ゆきげしき|설경|
V|基地|きち|기지|
V|空港|くうこう|공항|
V|脚本|きゃくほん|각본|
V|歌詞|かし|가사|
V|物語|ものがたり|이야기|
V|魅力|みりょく|매력|
V|台本|だいほん|대본|
V|活版印刷|かっぱんいんさつ|활판 인쇄|
V|質感|しつかん|질감|
V|補色|ほしょく|보색|
V|背景|はいけい|배경|
V|衣装|いしょう|의상|
V|甘酸っぱい|あまずっぱい|풋풋하다|
V|感想|かんそう|감상|
