# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석|화자(S=성시경 M=나카시마 미카 C=화면 자막)
163|처음 만나서 이야기하는 쪽이|はじめて あって おはなしする ほうが||M
164|조금 즐거울 때가 있죠|ちょっと たのしい ときが ありますよね||M
165|그러니까 저한테도 신경 쓰지 마시고|だから わたしにも おきづかいなく||S
166|모르는 건 모른다고 말해 주세요|しらないことは しらないと いってください||S
167|［솔직한 편이 좋아요］|しょうじきな ほうが いいです||C
168|평소에 뭘 제일 좋아하세요?|ふだん なにが いちばん すきですか||S
169|좋아하는 음식이라면 흰쌀밥이라든가|すきな たべものなら はくまいとか||M
170|흰쌀밥 맛있죠. 주먹밥이라든가|はくまい おいしいですよね おにぎりとか||S
171|그렇죠|そうですね||M
172|그것만 있으면 되는 타입인데|それだけ あれば いい タイプですけど||M
173|그래도 건강을 위해서|でも けんこうの ために||M
174|(균형 있게 먹으려고) 일단 노력은 하고 있는데요…|バランスよく たべようと いちおう がんばっては いますけど||M
175|근데 전에 기사에서 읽었는데요|でも まえに きじで よんだんですけど||S
176|흰쌀밥이 나쁜 것 취급을 받지만|はくまいが わるものに されてるけど||S
177|맞아요 맞아요|そうそう||M
178|살찐다고|ふとるって||S
179|현미가 더 좋다고 하는데 그렇지 않다고|げんまいの ほうが いいと いうけど そうでは ないって||S
180|심할 때는 흰쌀밥을 2홉 정도 먹어서|ひどい ときは はくまいを にごうくらい たべるので||M
181|엄청 많이 먹으니까|すごく たくさん たべるので||M
182|2홉이면 어느 정도예요?|にごうって どのくらいですか||S
183|［*1홉 = 큰 즉석밥(300g) 정도］|いちごう いこーる おおきな パックごはん さんびゃくグラムくらい||C
184|2홉이라니… 여기서는 '홉' 단위를 안 쓰나?|にごうって ここでは ごうの たんいを つかわないのかな||M
185|많이 먹는 편이긴 하지만|おおい ほうでは あるけど||M
186|하루에 걸쳐서요|いちにち かけてですよ||M
187|물론이죠|もちろん||S
188|깜짝 놀랐어요|びっくりしました||S
189|한 번에 먹는 건 아니고요|いちどに たべる わけでは なくて||M
190|푸드 파이터인 줄 알았어요|フードファイターかと おもいましたよ||S
191|그래도 하루에 2홉 정도는 혼자 먹으니까|それでも いちにちに にごうくらいは ひとりで たべるので||M
192|반찬은요?|おかずは||S
193|저는 사실 반찬은 적어도 괜찮아요|わたしは じつは おかずは すくなくて いいんです||M
194|밥만 먹을 수 있으면 되니까|ごはんさえ たべられれば いいので||M
195|［지금은 반찬도 제대로 먹으려고 노력 중］|いまは おかずも ちゃんと たべようと どりょくちゅう||C
196|왜요?|どうしてですか||S
197|흰쌀밥에도 영양은 있지만|はくまいにも えいようは あるんですけど||M
198|그래도 역시 그것만으로는 안 되니까|でも やっぱり それだけだと だめなので||M
199|그것만 먹고 살고 싶을 만큼 좋아하는데|それだけ たべて いきたいくらい すきなんですが||M
200|［건강을 위해 균형 있게 먹으려고 하고 있습니다］|けんこうの ために バランスよく たべようと しています||C
201|한국의 인상은 어떠세요?|かんこくの いんしょうは どうですか||S
202|처음엔 가끔 친구랑 같이…|さいしょは たまに ともだちと いっしょに||M
203|일이라기보다 여행을 겸해서 왔어서|しごとと いうより りょこうを かねて きたので||M
204|놀러요?|あそびに||S
205|다들 역시 한국 음식이 맛있다고 하니까|みんな やっぱり かんこくりょうりが おいしいと いうので||M
206|진짜 먹으러 다녔어요|ほんとうに たべあるいてました||M
207|저는 한국 사람이잖아요|わたしは かんこくじんじゃ ないですか||S
208|그래서 일본에 가면 역시 일본 음식이 맛있어요|だから にほんに いくと やっぱり にほんりょうりが おいしいです||S
209|같은 느낌이려나|おなじ かんじなのかな||S
210|그렇죠|そうですね||M
211|제 생각에는|わたしが おもうには||M
212|일본에는 없어서인 것 같아요. 분위기도 양념도|にほんには ないからだと おもいます ふんいきも あじつけも||M
213|한국 음식이|かんこくりょうりが||M
214|그리고 한국에는 일본 스타일이 없으니까|そして かんこくには にほんの スタイルが ないから||M
215|조리법이 다르니까 역시 신기한 걸까요|ちょうりほうが ちがうから やっぱり めずらしいんですかね||M
216|그걸 소개하는 방송이 있어요. 마츠시게 유타카 씨랑|それを しょうかいする ばんぐみが あるんですよ まつしげゆたかさんと||S
217|넷플릭스에서 하는 '이웃 나라의 구르메이트'라는|ネットフリックスで やってて となりの くにの グルメイトって いう||S
218|앗!?|あっ||M
219|그거 계속 봤어요|それ ずっと やってました||M
220|［그 사람이 이 사람이었어…?］|あの ひとが この ひとだったの||C
221|저 최악이죠? 보고 있어요|わたし さいていじゃ ないですか みてます||M
222|［(기억을 더듬는 중…)］|きおくを たどりちゅう||C
223|지금 시즌 2랄까|いま シーズンツーって いうか||S
224|미요시 아야카라는 모델분이랑|みよしあやかと いう モデルさんと||S
225|새 시즌이 시작돼서|あたらしい シーズンが はじまったので||S
226|그걸 보고|それを みて||M
227|'저 냉면집 가고 싶다' 같은|あの れいめんやに いきたいなとか||M
228|가세요. 거기 맛있어요|いってくださいよ あそこ おいしいですよ||S
229|얼마 전에 갔을 때|このまえ いった ときに||M
230|한국에 왔을 때|かんこくに きた ときに||M
231|그 냉면집을 찾아서|その れいめんやを さがして||M
232|몇 번 갔는데 쉬는 날이었나? 그래서 못 먹었어요|なんどか いったけど やすみだったかな だから たべられなかったんです||M
233|이렇게 하죠|こうしましょう||S
234|'이거 먹고 싶은데 이 근처에 있어요'|これ たべたいんですけど ここらへんに います||S
235|'어디가 좋을까요?' 하고 물어봐 주시면|どこが いいと おもいますかって きいてくだされば||S
236|정보를 보내드릴게요|じょうほうを おおくりしますね||S
237|그래도 돼요…?|いいんですか||M
238|［그럼 부탁드립니다］|それでは おねがいします||C
239|제일 분한 게 뭐냐면, 일본인이 한국에 와서|いちばん くやしいんですよ にほんじんが かんこくに きて||S
240|제가 인정하지 않는 가게에서 먹고|じぶんが みとめられない おみせで たべて||S
241|'역시 한국 최고'라고 하고 돌아가면 너무 슬퍼요|やっぱり かんこく さいこうって いって かえると すごく かなしいです||S
242|［(완전히 이해)］|かんぜんに りかい||C
243|'더 맛있는 가게가 있는데' 싶고|もっと おいしい みせが あるのにとか||S
244|그렇군요!|なるほど||M
245|관광지나 명동 같은 데(만 가지 마시고)|かんこうちや ミョンドン みたいな ところだけ いかないで||S
246|명동도 좋지만 조금만 더 가면|ミョンドンも いいけど もうすこし いくと||S
247|훨씬 진짜배기 한국이 기다리고 있는데|もっと ディープな かんこくが まっているのに||S
248|그렇군요|そうなんですね||M
249|정보가 부족하네요|じょうほうぶそくですね||M
250|되도록 맛있는 걸 먹었으면 하는 마음이 있어서|できるだけ おいしい ものを たべてほしいと いう きもちが あって||S
251|꼭 부탁드려요|ぜひ おねがいします||M
252|오늘은 지금 (밥을) 먹고 있지만…|きょうは いま ごはんを たべているけど||S
253|밤에 간다면 어디가 좋아요?|よるに いくなら どこが いいですか||M
254|뭘 드시고 싶으세요?|なにが たべたいですか||S
255|뭐가 좋을까?|なにが いいかな||M
256|아까 점심에는 미나리를 먹고 왔거든요|さっき ひるは セリを たべてきたんですよ||M
257|미나리요?|セリ||S
258|미나리 전골 같은|セリの おなべ みたいな||M
259|미나리 전골이라니 어떤 거지…?|セリの なべって どんなのだろう||S
260|미나리가 주인공은 아니죠?|セリは しゅやくじゃ ないですよね||S
261|뭔가에 미나리를 곁들인다든가…|なにかに セリを そえるとか||S
262|알탕을 먹었어요|アルタンを たべました||M
263|알탕|アルタン||S
264|［점심으로 알탕을 먹고 왔다］|ちゅうしょくに アルタンを たべてきた||C
265|그걸 평소에도 드세요?|それを ふだんから たべるんですか||S
266|한국에서는 안주 같은 이미지인데…|かんこくだと おつまみ みたいな イメージだけど||S
267|밥이랑 먹었는데요|ごはんと たべましたけど||M
268|어디 묵고 계세요?|どこに とまってるんですか||S
269|이름을 까먹었어요|なまえを わすれちゃった||M
270|고양시요!|コヤンしです||M
271|머네요|とおいんですね||S
272|맞아요. 여기까지 좀 멀었어요|そうですね ここまで ちょっと とおかったです||M
273|좀 알아봐야겠네요|ちょっと しらべてみないと いけませんね||S
274|거긴 제 구역이 아니라서요|そこは ぼくの しまじゃ ないので||S
275|이 근처를 잘 아시는군요|この あたりを よく ごぞんじなんですね||M
276|고양은 서울이 아니라서|コヤンは ソウルじゃ ないので||S
277|그렇게 말하더라고요|そう いってましたね||M
278|［사이타마: 도쿄 북쪽에 있는 현으로 수도권에 속한다］|さいたま とうきょうの きたに いちする けんで しゅとけんに ぞくする||C
279|좀 사이타마 같은 느낌|ちょっと さいたま みたいな かんじ||S
280|근데 찾아보면 얼마든지 있을 거예요|でも さがせば いくらでも あると おもいますよ||S
281|고양시라면…|コヤンしなら||S
282|조금만 더 가면 한국식 장어가 유명한 곳이라든가|もうすこし いくと かんこくスタイルの うなぎが ゆうめいな ばしょとか||S
283|한국 장어요?|かんこくの うなぎ||M
284|궁금하시죠|きに なりますよね||S
285|장어는 좋아하세요?|うなぎは おすきですか||S
286|잘 안 먹어요|あまり たべない||M
287|잔가시가 신경 쓰여서요|こぼねが きに なるんですよね||M
288|장어 가시가요?|うなぎの ほねが||S
289|［장어 가시…?］|うなぎの ほね||C
290|깔끔하게 손질해요|きれいに さばきますよ||S
291|손질은 하지만|さばくけど||M
292|보통 일본에서는|ふつう にほんでは||M
293|꼭 잔가시가 장어에 들어 있잖아요|かならず こぼねが うなぎに はいってますよね||M
294|좀 알아볼게요|ちょっと しらべてみますね||S
295|감사합니다|ありがとうございます||M
296|아니면 메뉴만 정해 주시면|それか メニューさえ きめて いただければ||S
297|알겠습니다|わかりました||M
298|근데 저 새우나 게나 조개 같은 걸|でも わたし エビとか カニとか かいとかが||M
299|정말 좋아해요|だいすきなんです||M
300|못 드시는 게 아니라 아주 좋아하신다고요?|たべられないんじゃ なくて だいすき||S
301|아주 좋아해요!|だいすき||M
302|［규슈 안에 있는 남쪽 끝 도시］|きゅうしゅうの なかに ある みなみの はしの とし||C
303|가고시마 출신이시죠?|かごしま しゅっしんですか||S
304|저희 아버지가 70… 80세 때였나|ぼくの ちちが ななじゅう はちじゅっさいの ときかな||S
305|생신에 규슈를 한 바퀴 돌았거든요|たんじょうびに きゅうしゅうを いっしゅうしたんですよ||S
306|아버님 생신에요?|おとうさんの たんじょうびにですか||M
307|네, 가족 전원 열 명이서|はい かぞくぜんいん じゅうにんで||S
308|일본 지인의 도움을 받아 버스를 빌려서|にほんの ちじんに たすけてもらって バスを かりて||S
309|온천 순례를 했어요|おんせんめぐりを しました||S
310|［그러셨군요］|そうだったんですね||C
311|사실 가고시마에는 온천이 있어요|じつは かごしまには おんせんが あるんですよ||M
312|별로 안 알려져 있지만요|あまり しられて いませんが||M
313|저는 가고시마의 엄청 시골에 살았어요|わたしは かごしまの すごい いなかに すんでいました||M
314|그 근처는 유노모토라고… 한자로 쓰면 '뜨거운 물 탕'에|その ちかくは ゆのもとと いう かんじで かくと おゆの ゆに||M
315|'근원 원'이라고 쓸 정도로|もとと かくくらいで||M
316|온천지가 근처에 있었어요|おんせんちが ちかくに ありました||M
317|어릴 때부터…|ちいさい ころから||M
318|예를 들면 피부가 뒤집어졌다고 하면|たとえば はだが あれたと いうと||M
319|'거기 온천 가면 낫는다'면서 갔었어요|あそこの おんせんが なおるからと いって いってました||M
320|병원처럼요|びょういん みたいに||S
321|그렇죠|そうですね||M
322|몇 살에 상경하셨어요?|なんさいで じょうきょうしたんですか||S
323|18살이요|じゅうはっさいです||M
324|그때는 가수가 되는 꿈을 꾸고|その ときは かしゅに なる ゆめを みて||S
325|(가수가) 되기로 정해지고 나서 상경했으니까|かしゅに なると きまってから じょうきょうしたので||M
326|그럼 누군가에게 발탁됐다는 건가요?|それじゃあ だれかに えらばれたと いうことですか||S
327|맞아요|そうです||M
328|데모 테이프랄까|デモテープと いうか||M
329|그런 시대였죠|そんな じだいだったんですね||S
330|맞아요|そうです||M
331|데모 테이프를 만들어서 음반사를 돌고|デモテープを つくって レコードがいしゃを まわって||S
332|맞아요. 근데 좀 특이해서|そうです でも ちょっと とくしゅで||M
333|친구 중에 작사 작곡을 하는 분이 있었는데|ともだちが さくしさっきょくを している かたが いて||M
334|그분이랑 친해서 노래방에도 자주 놀러 갔더니|その かたと なかよくて カラオケにも よく あそびに いってたら||M
335|'가이드 보컬을 불러 달라'고 해서|かりうたを うたってくれと いわれて||M
336|그 데모 테이프를 보냈나 봐요|その デモテープを おくった みたいなんですよ||M
337|아마 곡을 써줬으면 해서|たぶん きょくを つかってほしくて||M
338|나카시마 씨를 홍보하려던 게 아니라 그 곡을 팔려고|なかじまさんを せんでんする ためでは なく その きょくを うる ために||S
339|저도 설마 가수가 될 수 있을지 어떨지|わたしも まさか かしゅに なれるか どうかとか||M
340|가이드 보컬을 불렀을 뿐이니까요|かりうたを うたっただけですもんね||S
341|맞아요. 생각도 못 했으니까|そうです かんがえも しなかったから||M
342|멋있는 척하며 '그럴 생각은 없었다'고 하는 게 아니라|かっこつけて そんな つもりは なかったと いっている わけでは なく||M
343|기적적으로 운이 좋았다는 느낌|きせきてきに うんが よかったと いう かんじ||M
344|두근거리셨어요?|ドキドキしましたか||S
345|엄청 긴장했어요|すごく きんちょうしました||M
346|무대에서 긴장하는 편이세요?|ぶたいで きんちょうする はですか||S
347|엄청요|すごいです||M
348|콘서트에서도요?|コンサートでも||S
349|엄청요|すごいです||M
350|저는 방송에서는 죽을 만큼 긴장하는데|わたしは ばんぐみでは しぬほど きんちょうするんですけど||S
351|이 방송에서요?|この ばんぐみですか||M
352|아니, 음악 방송|いや うたばんぐみ||S
353|깜짝 놀랐네|びっくりした||M
354|음악 방송, 알아요|うたばんぐみ わかります||M
355|지상파 같은 데서|ちじょうは みたいな ところで||S
356|알아요|わかります||M
357|내 음향이 아니라 여러 사람이 나오는|じぶんの おんきょうじゃ なくて いろんな ひとが でる||S
358|생방송으로|なまほうそうで||S
359|실수하면|しっぱいしたら||S
360|온 국민이 보고 있으니까, 그중에는|ぜんこくみんが みているから その なかには||S
361|저를 안 좋아하는 사람도 꽤 있다고 생각하면|わたしを すきじゃ ない ひとも けっこう いると おもうと||S
362|'으악' 하게 되는 거예요|うわーって なっちゃうんです||S
363|근데 콘서트는|でも コンサートは||S
364|전혀 긴장이 안 돼요|ぜんぜん きんちょうしないんです||S
365|돈까지 내고 저를 보러 와줬다는 게|おかねまで はらって わたしを みに きてくれたって いうのが||S
366|확실히 그렇네요|たしかに そうですね||M
367|어떻게 만족시킬까만 생각하게 되죠|どうやって まんぞくさせようかって かんがえるだけ||S
368|콘서트에서도 긴장하세요?|コンサートでも きんちょうしますか||S
369|콘서트도 그렇고|コンサートも そうだし||M
370|정말 말씀하신 대로 TV 쪽이 훨씬 더 긴장돼요|ほんとうに おっしゃるとおり テレビの ほうが もっと きんちょうします||M
371|무서워서 견딜 수가 없어요|こわくて たまらないです||M
372|그거 어쩐지 알 것 같아요|それ なんとなく わかります||S
373|노래하실 때 목소리 색깔이 굉장히|うたう ときの こえの いろが すごく||S
374|매력적인 분이고 호흡 쓰는 법도 아주 예뻐서|みりょくてきな かたで いきの つかいかたも すごく きれいで||S
375|감사합니다|ありがとうございます||M
376|저도|わたしも||S
377|(나카시마 미카) 노래를 부를 기회가 있어서|なかじまみかの うたを うたう きかいが あって||S
378|옛날 방송이나 자료 같은 걸 보고 있으면|むかしの ほうそうや しりょうなんかを みていると||S
379|'이분 긴장하고 있구나' 싶은|この かた きんちょうしてるなって||S
380|가수니까 알잖아요|かしゅだから わかるでしょ||S
381|그런 거죠|そういう ものですよね||M
382|한 번도 만족스러운 녹화는 없었어요. 생방송도요|いちども まんぞくの いく ろくがは なかったです なまほうそうも||M
383|알아요|わかります||S
384|한 번도 '100% 불렀다' 한 적이 없어요|いちども ひゃくパーセント うたったって ことが ない||M
385|없죠|ないですよね||S
386|언제나 80%!|いつも はちわり||M
387|'이 정도면 괜찮으려나…?'|これくらいなら だいじょうぶかな||M
388|하는 정도밖에 없죠|って いう ていどしか ないですよね||M
389|근데 역시 그건 성격이죠|でも やっぱり それは せいかくですよね||S
