# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
終わっ|終わる|おわる|끝나다|종
監督|監督|かんとく|감독|감독
監視|監視|かんし|감시|감시
起きる|起きる|おきる|일어나다|기
可愛く|可愛い|かわいい|귀엽다|가애
近い,近|近い|ちかい|가깝다|근
歌手|歌手|かしゅ|가수|가수
観客|観客|かんきゃく|관객|관객
怖く|怖い|こわい|무섭다|포
覚める|覚める|さめる|(잠이) 깨다|각
最初|最初|さいしょ|처음|최초
感じ|感じ|かんじ|느낌|감
聞か,聞い,聞く,聞き,聴き|聞く|きく|묻다·듣다|문
逆|逆|ぎゃく|반대·거꾸로|역
嬉しい|嬉しい|うれしい|기쁘다|희
自分|自分|じぶん|자기|자분
一|一|いち|하나·1|일
新人|新人|しんじん|신인|신인
話|話|はなし|이야기|화
楽しい,楽し,楽しかっ|楽しい|たのしい|즐겁다|락
気遣い|気遣い|きづかい|신경 씀·배려|기견
正直|正直|しょうじき|솔직함|정직
普段|普段|ふだん|평소|보단
一番|一番|いちばん|가장·제일|일번
食べ物|食べ物|たべもの|음식|식물
白米|白米|はくまい|흰쌀밥|백미
健康|健康|けんこう|건강|건강
一応|一応|いちおう|일단·우선|일응
記事|記事|きじ|기사|기사
読ん|読む|よむ|읽다|독
悪者|悪者|わるもの|나쁜 것 취급받는 것|악자
太る|太る|ふとる|살찌다|태
玄米|玄米|げんまい|현미|현미
時|時|じ|때·시|시
合|合|あわせ|홉(쌀 단위)|합
合っ,合う,合い|合う|あう|맞다·어울리다|합
単位|単位|たんい|단위|단위
多い,多く|多い|おおい|많다|다
１日|一日|いちにち|하루|일일
一人|一人|ひとり|한 사람|일인
実|実|じつ|사실|실
少なく|少ない|すくない|적다|소
努力|努力|どりょく|노력|노력
栄養|栄養|えいよう|영양|영양
生き|生きる|いきる|살다|생
印象|印象|いんしょう|인상|인상
友達|友達|ともだち|친구|우달
旅行|旅行|りょこう|여행|려행
兼ね|兼ねる|かねる|겸하다|겸
遊び|遊ぶ|あそぶ|놀다|유
食べ歩い|食べ歩く|たべあるく|먹으러 다니다|식보
行く,行き,行っ,行か|行く|いく|가다|행
雰囲気|雰囲気|ふんいき|분위기|분위기
味付け|味付け|あじつけ|양념·간|미부
調理|調理|ちょうり|조리|조리
法|法|ほう|법·방법|법
違う|違う|ちがう|다르다·틀리다|위
紹介|紹介|しょうかい|소개|소개
松重|マツシゲ|まつしげ|마츠시게(성)|
豊|ユタカ|ゆたか|유타카(이름)|
隣|隣り|となり|옆·이웃|린
国|国|くに|나라|국
最低|最低|さいてい|최악|최저
三吉|ミヨシ|みよし|미요시(성)|
彩花|アヤカ|あやか|아야카(이름)|
新しい|新しい|あたらしい|새롭다|신
始まっ|始まる|はじまる|시작되다|시
冷麺|冷麺|れいめん|냉면|랭면
屋|屋|や|~집·가게|옥
探し,探せ|探す|さがす|찾다|탐
休み|休み|やすみ|쉬는 날|휴
辺|辺|へん|근처|변
情報|情報|じょうほう|정보|정보
送り,送っ|送る|おくる|보내다|송
悔しい|悔しい|くやしい|분하다|회
認め|認める|みとめる|인정하다|인
最高|最高|さいこう|최고|최고
帰る|返る|かえる|돌아가다|반
悲しい|悲しい|かなしい|슬프다|비
完全|完全|かんぜん|완전|완전
理解|理解|りかい|이해|리해
観光|観光|かんこう|관광|관광
明洞|ミョンドン|みょんどん|명동(지명)|
待っ|待つ|まつ|기다리다|대
不足|不足|ふそく|부족|불족
気持ち|気持ち|きもち|기분·마음|기지
夜|夜|よる|밤|야
昼|昼|ひる|낮·점심|주
主役|主役|しゅやく|주역·주인공|주역
添える|添える|そえる|곁들이다|첨
昼食|昼食|ちゅうしょく|점심 식사|주식
泊まっ|泊まる|とまる|묵다|박
名前|名前|なまえ|이름|명전
忘れ|忘れる|わすれる|잊다|망
高陽|高陽|かや|고양(지명)|고양
市|市|し|시|시
遠い,遠かっ|遠い|とおい|멀다|원
調べ|調べる|しらべる|조사하다·알아보다|조
僕|僕|ぼく|나(남자의 1인칭)|복
島|島|しま|섬·(속어) 구역|도
辺り|辺り|あたり|근처|변
存知|存知|ぞんじ|아심(ご存知)|존지
埼玉|サイタマ|さいたま|사이타마(지명)|
東京|トウキョウ|とうきょう|도쿄(지명)|
北|北|きた|북쪽|북
位置|位置|いち|위치|위치
県|県|けん|현(행정구역)|현
首都|首都|しゅと|수도|수도
圏|圏|けん|권(범위)|권
属する|属する|ぞくする|속하다|속
場所|場所|ばしょ|장소|장소
気|気|き|기운·마음|기
小骨|小骨|こぼね|잔가시|소골
骨|骨|ほね|뼈·가시|골
捌き,捌く|捌く|さばく|(생선을) 손질하다|팔
普通|普通|ふつう|보통|보통
必ず|必ず|かならず|반드시|필
決め|決める|きめる|정하다|결
貝|貝|かい|조개|패
九州|キュウシュウ|きゅうしゅう|규슈(지명)|
南|南|みなみ|남쪽|남
端|端|はし|끝|단
都市|都市|とし|도시|도시
父|父|ちち|아버지|부
歳|歳|とし|세·살|세
誕生|誕生|たんじょう|탄생|탄생
周|周|しゅう|바퀴·둘레|주
家族|家族|かぞく|가족|가족
全員|全員|ぜんいん|전원|전원
知人|知人|ちじん|지인|지인
助け|助ける|たすける|돕다·구하다|조
借り|借りる|かりる|빌리다|차
温泉|温泉|おんせん|온천|온천
巡り|巡り|めぐり|순례·돌기|순
田舎|田舎|いなか|시골|전사
住ん|住む|すむ|살다|주
近く|近く|ちかく|근처|근
湯|湯|ゆ|뜨거운 물|탕
元|元|もと|원래|원
漢字|漢字|かんじ|한자|한자
書く|書く|かく|쓰다|서
小さい|小さい|ちいさい|작다|소
頃|頃|ころ|무렵|경
例えば|例えば|たとえば|예를 들면|례
肌|肌|はだ|피부|기
荒れ|荒れる|あれる|거칠어지다|황
直る|直る|なおる|낫다·고쳐지다|직
病院|病院|びょういん|병원|병원
上京|上京|じょうきょう|상경|상경
決まっ,決まる,決まり|決まる|きまる|정해지다|결
選ば,選ん|選ぶ|えらぶ|고르다|선
時代|時代|じだい|시대|시대
会社|会社|かいしゃ|회사|회사
回っ|回る|まわる|돌다|회
特殊|特殊|とくしゅ|특수|특수
作詞|作詞|さくし|작사|작사
作曲|作曲|さっきょく|작곡|작곡
仲良く|仲良く|なかよく|사이좋게|중량
仮歌|仮歌|かりうた|가이드 보컬(임시 녹음)|가가
宣伝|宣伝|せんでん|홍보|선전
売る|売る|うる|팔다|매
考え|考え|かんがえ|생각|고
奇跡|奇跡|きせき|기적|기적
運|運|うん|운|운
良かっ,良い|良い|よい|좋다|량
緊張|緊張|きんちょう|긴장|긴장
舞台|舞台|ぶたい|무대|무대
派|派|は|~파·~하는 편|파
死ぬ|死ぬ|しぬ|죽다|사
地上|地上|ちじょう|지상|지상
波|波|なみ|파(전파)|파
音響|音響|おんきょう|음향|음향
生|生|なま|날것·생(生)|생
放送|放送|ほうそう|방송|방송
失敗|失敗|しっぱい|실수·실패|실패
全|全|ぜん|전체의|전
国民|国民|こくみん|국민|국민
結構|結構|けっこう|꽤|결구
金|金|きん|돈·금|금
払っ|払う|はらう|지불하다|불
確か|確か|たしか|아마·분명|확
満足|満足|まんぞく|만족|만족
考える,考え|考える|かんがえる|생각하다|고
通り|通り|とおり|~대로|통
声|声|こえ|목소리|성
色|色|いろ|색|색
魅力|魅力|みりょく|매력|매력
息|息|いき|숨·호흡|식
綺麗|奇麗|きれい|깨끗함·예쁨|기지
昔|昔|むかし|옛날|석
資料|資料|しりょう|자료|자료
録画|録画|ろくが|녹화|록화
割|割|わり|할(10%)|할
程度|程度|ていど|정도|정도
性格|性格|せいかく|성격|성격
楽しもう,楽しむ|楽しむ|たのしむ|즐기다|락
共感|共感|きょうかん|공감|공감
音楽|音楽|おんがく|음악|음락
慣れ,慣れる|慣れる|なれる|익숙해지다|관
世代|世代|せだい|세대|세대
変わる|変わる|かわる|변하다·바뀌다|변
年|年|ねん|해·년|년
耳|耳|みみ|귀|이
感覚|感覚|かんかく|감각|감각
音|音|おと|소리|음
体|体|からだ|몸|체
特訓|特訓|とっくん|특훈|특훈
先輩|先輩|せんぱい|선배|선배
不思議|不思議|ふしぎ|신기함|불사의
聞こえ|聞こえる|きこえる|들리다|문
安全|安全|あんぜん|안전|안전
装置|装置|そうち|장치|장치
片耳|片耳|かたみみ|한쪽 귀|편이
押さえ|押さえる|おさえる|억누르다·참다|압
劣悪|劣悪|れつあく|열악|렬악
環境|環境|かんきょう|환경|환경
上手|上手|じょうず|잘함|상수
訓練|訓練|くんれん|훈련|훈련
両耳|両耳|りょうみみ|양쪽 귀|량이
場合|場合|ばあい|경우|장합
楽器|楽器|がっき|악기|락기
無理|無理|むり|무리|무리
心配|心配|しんぱい|걱정|심배
途中|途中|とちゅう|도중|도중
外し|外す|はずす|빼다·벗다|외
急|急|きゅう|갑작스러움|급
教え|教える|おしえる|가르쳐 주다·알려주다|교
猟奇|猟奇|りょうき|엽기|렵기
彼女|彼女|かのじょ|그녀|피녀
奪わ|奪う|うばう|빼앗다|탈
嘘|嘘|うそ|거짓말|허
伝説|伝説|でんせつ|전설|전설
所属|所属|しょぞく|소속|소속
事務|事務|じむ|사무|사무
所|所|ところ|곳·바|소
申し訳|申し訳|もうしわけ|변명·죄송함|신역
頼ま|頼む|たのむ|부탁하다·주문하다|뢰
惜しい|惜しい|おしい|아깝다|석
縁|縁|えん|인연|연
喜ん,喜び|喜ぶ|よろこぶ|기뻐하다|희
先生|先生|せんせい|선생님|선생
仕方なく|仕方無い|しかたない|어쩔 수 없다|사방무
代わり|代わり|かわり|대신|대
続け|続ける|つづける|계속하다|속
互い|互い|たがい|서로|호
交換|交換|こうかん|교환|교환
人気|人気|にんき|인기|인기
勝手|勝手|かって|제멋대로·마음대로|승수
世間|世間|せけん|세상|세간
似|似る|にる|닮다|사
男性|男性|だんせい|남성|남성
暗い|暗い|くらい|어둡다|암
似合い|似合う|にあう|어울리다|사합
発音|発音|はつおん|발음|발음
難しい|難しい|むずかしい|어렵다|난
完璧|完璧|かんぺき|완벽|완벽
必要|必要|ひつよう|필요|필요
大目|大目|おおめ|너그럽게 봄(大目に見る)|대목
踊り|踊り|おどり|춤|용
踊ら,踊る,踊っ|踊る|おどる|춤추다|용
歩い|歩く|あるく|걷다|보
振り|振り|ふり|안무·동작|진
笑わ|笑う|わらう|웃다|소
計画|計画|けいかく|계획|계화
厳しい|厳しい|きびしい|엄격하다|엄
大|大|おお|큰·대|대
成功|成功|せいこう|성공|성공
来年|来年|らいねん|내년|래년
毎年|毎年|まいとし|매년|매년
文化|文化|ぶんか|문화|문화
呼ん|呼ぶ|よぶ|부르다|호
周年|周年|しゅうねん|주년|주년
祝う|祝う|いわう|축하하다|축
以上|以上|いじょう|이상|이상
部|部|ぶ|부(部)|부
分かれ|分かれる|わかれる|나뉘다|분
間|間|ま|사이·틈|간
着替え|着替え|きがえ|옷 갈아입기|착체
次|次|つぎ|다음|차
仲間|仲間|なかま|동료|중간
同士|同士|どうし|~끼리|동사
終わり|終わり|おわり|끝|종
長く,長い|長い|ながい|길다|장
半|半|はん|반|반
初め|初め|はじめ|초·처음|초
野外|野外|やがい|야외|야외
遊び|遊び|あそび|놀이|유
思いつい|思い付く|おもいつく|떠오르다|사부
提案|提案|ていあん|제안|제안
遠慮|遠慮|えんりょ|사양|원려
断っ|断る|ことわる|거절하다|단
中国|中国|ちゅうごく|중국|중국
一言|一言|ひとこと|한마디|일언
応援|応援|おうえん|응원|응원
嫌|嫌|いや|싫음|혐
連れ|連れる|つれる|데려오다|련
全く|全く|まったく|참나·전혀|전
混ざる|混ざる|まざる|섞이다|혼
形式|形式|けいしき|형식|형식
両方|両方|りょうほう|양쪽|량방
完成|完成|かんせい|완성|완성
他|他|ほか|다른(것)|타
楽しみ|楽しみ|たのしみ|기대·즐거움|락
推薦|推薦|すいせん|추천|추천
文字|文字|もじ|글자|문자
離れ|離れる|はなれる|떨어지다|리
泣き|泣く|なく|울다|읍
湯之元|湯之元|ゆのもと|유노모토(가고시마의 온천 지명)|탕?원
