# 한국어 한자어 예. 형식: 漢字|한자어 음|한자어 음   (1·2급 204자 먼저. 나머지는 상세에서 이 줄이 비어 있음)
人|人間 인간|人生 인생
服|衣服 의복|克服 극복
頑|頑固 완고|頑强 완강
嬉|嬉戱 희희|
構|構造 구조|機構 기구
要|重要 중요|必要 필요
詞|歌詞 가사|名詞 명사
米|米飯 미반|白米 백미
耳|耳目 이목|中耳炎 중이염
計|計劃 계획|時計 시계
文|文化 문화|文章 문장
