# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석
86|진정해! 진정해 진정해|おちつけ おちつけ おちつけ|
87|나 이런 거 운전은 대충 알거든|あーし こういうのの うんてんは だいたい わかるから|
88|오, 완전 최고잖아!|おー さいきょうじゃん|
89|일단 조종용 키가 있잖아?|まず コントロールようの キーが あるっしょ|
90|응!|うん|
91|하나 모자라|いっぽん たりてない|
92|하나 모자라|いっぽん たりてない|
93|하나가 모자라다는 건|いっぽん たりてないってことは|
94|응, 반대쪽 조종실에 있을 거야|うん はんたいがわの うんてんしつに あるはずだ|
95|무, 무, 무슨 얘기 하는 거야?|な・な・な・なんの はなしてんの|
96|그러니까, 그게,|だから その|
97|뭐든 좋으니까 일단 맨 앞 차량까지 이동해서|なんでもいいから まず いちばん まえの しゃりょうまで いどうして|
98|그러면 이 열차 세우기 위한 키가 있을 테니까|そうすれば この れっしゃ とめるための キーが あるはずだから|
99|일단 선두 차량으로 가면 되는 거지!|とりあえず せんとうしゃりょうを めざせばいいのね|
100|맞아!|そう|
101|선두 차량!|せんとうしゃりょう|
102|선두 차량!|せんとうしゃりょう|
103|으어어어----!!!|おうぁーーー|
104|꺄악----!!!|やぁーーー|
