# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석   — id 는 seg.py 의 분할 결과에 대응
52|저는 자주 아이돌을 히어로에 비유하는데요, 그 반대도 마찬가지라서|ぼくは よく アイドルを ヒーローに たとえてるんですけど ぎゃくも また しかりで|例える=비유하다, 逆もまた然り=역도 또한 그러하다
53|Snow Man에게 마음을 전하고 싶으니까…|スノーマンに おもいを とどけたいから…|想い=마음·감정
54|우리가, 응원해 주시는 여러분의 온기 같은 것을 느끼고|ぼくたちが おうえん してくださる みなさんの ぬくもり みたいな ものを かんじて|温もり=온기
55|굉장히 힘을 얻게 되는 일들도 많이 있어서|すごく げんきづけられる ような こととかも たくさん あって|元気づける=기운을 북돋우다
56|Snow Man 너무 좋아|スノーマン だいすき|
57|목소리를 전합니다|こえを とどけます|
58|앞으로도 응원할게. 당신을 만나서 다행이에요|これからも おうえん してるね あなたに あえて よかったです|〜て良かった=〜해서 다행이다
59|정말 즐거웠어. 미소를 전해 줘서 고마워. 너무 좋아|すごい たのしかったよ えがおを とどけてくれて ありがとう だいすき|笑顔=웃는 얼굴
60|앞으로도 따라갈게|これからも ついていくよ|付いていく=따라가다
61|수고하셨습니다. 투어 완주 축하해|おつかれさまでした ツアー かんそう おめでとう|完走=완주
62|팬 일동으로부터|ファン いちどう より|
63|파퓽~|パピューン|사쿠마 특유의 의성어
64|어?|え？|
65|대박이다|ヤバい|좋을 때·나쁠 때 모두 쓰는 젊은층 표현
66|2022년 11월|にせんにじゅうにねん じゅういちがつ|
67|2집 앨범을 내건 「LIVE TOUR 2022 Labo.」 투어 중에|セカンド アルバムを ひっさげた 「ライブツアー にせんにじゅうに ラボ」 ツアーちゅうに|〜を提(ひっさ)げる=〜를 내걸고 (앨범 투어에 상투적)
68|제한이 완화되어 팬들의 생생한 환호를 들을 수 있었던 9명|せいげんが かんわされ ファンの なまの かんせいを きけた きゅうにん|緩和=완화
69|물론 라이브를 하는 데 (팬의) 목소리가 있고 없고에 따라|もちろん ライブを やるのに こえが あるから ないから とかで|
70|퍼포먼스의 그것이 바뀌는 일은 전혀 없지만|パフォーマンスの あれが かわる ことは いっさい ないけど|一切〜ない=일절 〜않다
71|그래도 우리가 환호를 들은 게|でも じぶんたちが かんせいを きいたのが|
72|정말 오랜만이었다는 것도 있어서, 정말 기뻤다는|すごく ひさびさ だったって いうのも あって すごく うれしかったな っていう|久々=오랜만
73|끝났습니다, 선배|おわりました せんぱい|
74|감사합니다|ありがとうございます|
75|그리고 2023년 5월, 데뷔 때부터 목표로 삼았던 돔 투어|そして にせんにじゅうさんねん ごがつ デビューから めざしていた ドームツアー|目指す=목표로 하다
76|「Snow Man 1st DOME tour 2023 i DO ME」에 도전하다|「スノーマン ファースト ドームツアー にせんにじゅうさん アイ ドゥ ミー」に いどむ|挑む=도전하다
77|원진 하러 가죠|えんじん いきましょう|円陣=둥글게 모여 기합을 넣는 것
78|원진 하고 싶어|えんじん したい|
79|원진 갑니다|えんじん いきます|
80|좋아. 나는 꽤 원진 하는 순간을 좋아해서|よし おれは けっこう えんじんの しゅんかんが すきで|結構=꽤
81|그 원에 함께 들어와서 해 주는 사람들이|そこの わに いっしょに なって やってくれる ひとたちが|輪=원·고리
82|점점 늘어나고 있는 듯한 감각을 나 혼자 느끼고 있어서|どんどん ふえて いっている みたいな かんかくを ぼくは かってに かんじてて|勝手に=제멋대로·나 혼자
83|간다!|いくぞー！|
84|으샤!|ッシャー！|よっしゃ 의 기합 소리
85|아마 돔의 맨 첫 번째는 못 넘을 것 같아, 추억이라는 면에서는|たぶん ドームの いちばん さいしょは こえられないと おもう おもいでてきにね|超える=넘다
86|우리와 여러분이|おれたちと みんなが|
87|Snow Man!|スノーマン！|
88|이 상태로 분장실에 있었다고|この じょうたいで メイクしつ いたの|状態=상태
89|2023년 섣달그믐, YouTube 생방송 라이브|にせんにじゅうさんねんの おおみそか ユーチューブにて なまはいしん ライブ|大晦日=12월 31일
90|「Snow Man Special Live ~다 함께 즐기는 섣달그믐!~」을 열었다|「スノーマン スペシャル ライブ ～みんなで たのしむ おおみそか！～」を おこなった|行う=행하다·개최하다
91|"모인 게 엄청 대단하네, 호화롭네" 라고|あつまってんの めっちゃ すごいね ごうかだね って|豪華=호화
92|그런 말을 듣게 되고 싶어요. 그러니까 더더욱 거기에 있어도 부끄럽지 않도록|いわれる ように なりたいんですよ だからこそ そこに いて はじない ように|恥じる=부끄러워하다
93|나도 더 열심히 하자고 생각할 수 있고|じぶんも もっと がんばろうって おもえるし|
94|개성을 드러내면서 그 뒤의 이 녀석을 확실히 보여 주고 싶다는|こせい だしながら そのあとの こいつを はっきり みせたい っていう|こいつ=이 녀석
95|네, OK입니다|はい オーケーです|
96|나 여기서 (사람) 만나기로 했거든|おれ ここで まちあわせ してんだよ|待ち合わせ=만날 약속
97|어, 뭐?|ええ なに？|
98|누군데, 누구?|だれよ だれ？|
99|뭐 하는 거야?|なに やってんの？|やってんの=やっているの
100|2024년 4집 앨범 「RAYS」의 타이틀곡|にせんにじゅうよねん フォース アルバム 「レイズ」の リードきょく|リード曲=앨범 대표곡
101|「EMPIRE」 뮤직비디오를 해외에서 촬영|「エンパイア」の ミュージックビデオを かいがいで さつえい|撮影=촬영
102|아니, 뭔가 5년 동안 "더, 더 갈 수 있을 거야"라는|いや なんか ごねんかん もっと もっと いける だろう っていう|いける=할 수 있다·통하다
103|정신으로 있을 수 있다는 건, 멋진 그룹이구나 싶달까|せいしんで いられる っていうのは すてきな グループだな っていうか|素敵=멋진
104|그리고 5대 돔 투어 「Dome Tour 2024 RAYS」를 완주|そして ごだい ドームツアー 「ドームツアー にせんにじゅうよん レイズ」を かんそう|
105|지금까지의 그들이 앞으로의 그들을 만들고, 그리고 더욱 나아간다…|これまでの かれらが これからの かれらを つくり そして さらに すすんでいく…|創る=만들다(창조), 更に=더욱
